emotion	explanation	target_group	event	German	AffectCategory
frust	Ein kaputter Laptop, der nicht mehr repariert werden kann, ist eine frustrierende Situation, insbesondere wenn die Garantie abgelaufen ist und ich keine Möglichkeit habe, ihn zu reparieren oder zu ersetzen.	Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.		Cannot map the emotion
ekel	Die Verschmutzung der Toilettensituation würde mich als Mann unangenehm und widerlich finden, was zu einem Gefühl von Ekel führen würde.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Die Verschmutzung der Toilettensituation würde mich als Mann unangenehm und widerlich finden, was zu einem Gefühl von Ekel führen würde.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Die Verschmutzung der Toilettensituation würde mich als Mann unangenehm und widerlich finden, was zu einem Gefühl von Ekel führen würde.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Die Verschmutzung der Toilettensituation würde mich als Mann unangenehm und widerlich finden, was zu einem Gefühl von Ekel führen würde.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
verärgerung	Ich würde mich verärgert fühlen, wenn ich in Hundescheiße getreten bin, weil ich mich unangenehm und unhygienisch fühlen würde.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin		Cannot map the emotion
unbehagen	Das kalte und trübe Wetter würde mich unbehaglich stimmen, da ich mich nicht wohl fühlen würde in einer solchen Umgebung.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	unbehagen	anticipation
unbehagen	Das kalte und trübe Wetter würde mich unbehaglich stimmen, da ich mich nicht wohl fühlen würde in einer solchen Umgebung.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	unbehagen	sadness
scham	Ich würde Scham empfinden, weil ich meine Freundin enttäuscht habe und ich mich für mein Verhalten schäme.	Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	anger
scham	Ich würde Scham empfinden, weil ich meine Freundin enttäuscht habe und ich mich für mein Verhalten schäme.	Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	disgust
scham	Ich würde Scham empfinden, weil ich meine Freundin enttäuscht habe und ich mich für mein Verhalten schäme.	Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	sadness
