Sentence_id	Prior_Emotion	Sentence	Temporal_Distance	Intensity	Duration	Gender	City	Country	Worker_id	Time	Angst	Ekel	Freude	Scham	Schuld	Traurigkeit	Wut
370	Traurigkeit	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	M	Mi	Epm	Ml	Dortmund	DEU	20	11/26/2018 19:00:21	0	0	0	0	0	0	5
88	Ekel	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	W	Mi	Epm	Ml	Ingolstadt	DEU	28	11/21/2018 18:15:56	0	5	0	0	0	0	0
76	Ekel	Ich fühle ..., wenn ich in Hundescheiße getreten bin	M	S	Es	Ml	Wesel	DEU	5	11/21/2018 08:35:59	0	5	0	0	0	0	0
361	Traurigkeit	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	T	Mi	Epm	Ml	Greven	DEU	20	11/24/2018 00:28:01	0	0	0	0	0	5	0
268	Schuld	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	M	Mi	Ms	Ml	Krefeld	DEU	12	11/20/2018 19:31:08	0	0	0	0	5	0	0
420	Wut	Ich fühlte ..., als mich mein Exfreund betrogen hat.	J	I	Tol	Fl	nan	DEU	37	11/24/2018 16:38:53	0	0	0	0	0	0	5
399	Wut	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	T	I	Es	Ml	nan	DEU	22	11/25/2018 20:39:14	0	0	0	0	0	0	5
44	Angst	Ich fühlte ..., als mein Vater schwer erkrankte.	W	S	Tol	Ml	nan	DEU	22	11/25/2018 20:23:19	1	0	0	0	0	4	0
344	Traurigkeit	Ich fühlte ..., als ich schwer erkältet war.	W	Mi	Es	Ml	Dortmund	DEU	20	11/21/2018 20:18:54	1	0	0	0	1	2	1
315	Schuld	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	J	S	Tol	Ml	Frechen	DEU	19	11/26/2018 17:19:08	0	0	0	1	3	0	1
296	Schuld	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	J	Mi	Epm	Ml	Greven	DEU	20	11/24/2018 00:33:02	0	0	0	3	2	0	0
328	Traurigkeit	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.	J	S	Tol	Ml	nan	DEU	38	11/20/2018 18:58:49	0	0	0	0	0	5	0
330	Traurigkeit	Ich fühlte ..., als mein Vater nach langer Krankheit verstarb.	J	S	Tol	Ml	nan	DEU	48	11/20/2018 23:51:30	0	0	0	0	0	5	0
384	Traurigkeit	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.	M	Mi	Tol	Ml	nan	DEU	22	11/28/2018 17:56:30	0	0	0	0	0	3	2
208	Scham	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	M	Mi	Es	Ml	nan	DEU	12	11/20/2018 19:30:32	0	0	0	5	0	0	0
122	Ekel	Ich fühlte ..., als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach.	M	I	Es	Ml	nan	DEU	22	11/25/2018 20:27:46	0	0	0	3	1	1	0
372	Traurigkeit	Ich fühlte ..., als ich erfahren habe, dass Großbritannien aus dem Euro austreten wird. (ganz liebe Freunde von uns leben in London und sie haben uns vorher schon gesagt, dass das schrecklich werden würde)	J	Mi	Ms	Ml	nan	AUT	43	11/27/2018 06:44:39	0	0	0	0	0	4	1
213	Scham	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.	J	S	Ms	Ml	nan	DEU	39	11/21/2018 11:22:16	0	0	0	5	0	0	0
216	Scham	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.	J	S	Ms	Ml	nan	AUT	10	11/22/2018 13:26:48	0	0	0	5	0	0	0
323	Schuld	Ich fühlte ..., als ich gedankenverloren auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah und nur durch eine Notbremsung einen Zusammenstoß vermeiden konnte.	M	S	Ms	Ml	Bergheim	DEU	19		0	0	0	0	5	0	0
332	Traurigkeit	Ich fühle ..., wenn ich meine Kinder längere Zeit nicht sehen kann.	W	S	Tol	Ml	Wesel	DEU	5	11/21/2018 08:32:06	0	0	0	0	0	5	0
100	Ekel	Ich fühlte ..., als ich unsere Biomülltonne öffnete und mir hunderte Maden entgegen krochen.	T	I	Epm	Ml	nan	DEU	38	11/22/2018 15:23:20	0	5	0	0	0	0	0
398	Wut	Ich fühlte ..., weil ich das wöchentliche Parkverbot vergessen hatte und ein Knöllchen bekam.	T	I	Es	Fl	Lostau	DEU	3	11/24/2018 07:49:53	0	0	0	0	2	0	3
149	Freude	Ich fühlte ..., als sich eine Freundin sehr über ein Geschenk von mir gefreut hat.	T	I	Ms	Fl	nan	DEU	3	11/24/2018 07:49:55	0	0	5	0	0	0	0
267	Schuld	Ich fühlte ..., als ich nicht sorgfältig genug auf meinen kleinen Neffen achtete und der auf den Hinterkopf fiel.	T	I	Es	Ml	Oberboihingen	DEU	38	11/20/2018 18:57:28	0	0	0	0	5	0	0
81	Ekel	Ich fühlte ..., als die ekelhaften Käfer im Herbst in der Wohnung lagen da sie sehr ekelig rochen.	T	I	Epm	Ml	nan	AUT	47	11/22/2018 16:43:16	0	5	0	0	0	0	0
164	Freude	Ich fühlte ..., als meine Söhne geboren wurden.	J	S	Tol	Ml	nan	DEU	22	11/25/2018 20:29:46	0	0	5	0	0	0	0
362	Traurigkeit	Ich fühlte ..., als ich erfuhr, dass ein Freund in ein anderes Land zieht.	M	S	Tol	Fl	Lostau	DEU	3	11/24/2018 07:49:34	0	0	0	0	0	5	0
409	Wut	Ich fühlte ..., weil man mich angelogen hatte	M	I	Ms	Fl	nan	AUT	24	11/23/2018 16:48:13	0	0	0	0	0	0	5
20	Angst	Ich fühlte ..., als es ein starkes Gewitter gab und ich noch sehr klein war.	J	N	Epm	Ml	Dortmund	DEU	20	11/21/2018 20:26:55	5	0	0	0	0	0	0
