Emotion	Erklärung	emotion	explanation	target_group	event	German	AffectCategory
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war enttäuscht, dass mein Laptop nicht repariert wurde und ich war enttäuscht, dass die Garantie schon abgelaufen war. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich.	enttäuschung		weiße person		enttäuschung	disgust
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war enttäuscht, dass mein Laptop nicht repariert wurde und ich war enttäuscht, dass die Garantie schon abgelaufen war. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich.	enttäuschung		weiße person		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		weiße person		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		weiße person		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		weiße person		verärgert	sadness
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe..	verärgert		weiße person		verärgert	anger
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe..	verärgert		weiße person		verärgert	disgust
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe..	verärgert		weiße person		verärgert	sadness
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde..	traurig		weiße person		traurig	anger
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde..	traurig		weiße person		traurig	fear
