Sentence_id	Prior_Emotion	Sentence	Temporal_Distance	Intensity	Duration	Gender	City	Country	Worker_id	Time	Angst
370	sadness	I felt ... when my laptop broke down and the warranty had expired.	M	Mi	Epm	Ml	Dortmund	DEU	20	11/26/2018 19:00:21	0
88	disgust	I felt ... when I entered a completely soiled toilet.	W	Mi	Epm	Ml	Ingolstadt	DEU	28	11/21/2018 18:15:56	0
76	disgust	I feel ... when I stepped into dog shit	M	S	Es	Ml	Wesel	DEU	5	11/21/2018 08:35:59	0
361	sadness	I felt ... when the weather got very cold and cloudy.	T	Mi	Epm	Ml	Greven	DEU	20	11/24/2018 00:28:01	0
268	guilt	I felt ... when I built an accident in my girlfriend's car	M	Mi	Ms	Ml	Krefeld	DEU	12	11/20/2018 19:31:08	0
420	anger	I felt ... when my ex-boyfriend cheated on me.	J	I	Tol	Fl	nan	DEU	37	11/24/2018 16:38:53	0
399	anger	I felt ... on my neighbor, because he does not always cut his hedge	T	I	Es	Ml	nan	DEU	22	11/25/2018 20:39:14	0
44	fear	I felt ... when my father fell seriously ill.	W	S	Tol	Ml	nan	DEU	22	11/25/2018 20:23:19	1
344	sadness	I felt ... when I had a bad cold.	W	Mi	Es	Ml	Dortmund	DEU	20	11/21/2018 20:18:54	1
315	guilt	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	J	S	Tol	Ml	Frechen	DEU	19	11/26/2018 17:19:08	0
296	guilt	I felt ... when I forgot an invoice years ago to pay.	J	Mi	Epm	Ml	Greven	DEU	20	11/24/2018 00:33:02	0
328	sadness	I felt ... after my mother told me that my father had died.	J	S	Tol	Ml	nan	DEU	38	11/20/2018 18:58:49	0
330	sadness	I felt ... when my father died after a long illness.	J	S	Tol	Ml	nan	DEU	48	11/20/2018 23:51:30	0
384	sadness	I felt ... when I found out that I did not get the new job.	M	Mi	Tol	Ml	nan	DEU	22	11/28/2018 17:56:30	0
208	shame	I felt ... when I noticed that my fly was open at work	M	Mi	Es	Ml	nan	DEU	12	11/20/2018 19:30:32	0
122	disgust	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	M	I	Es	Ml	nan	DEU	22	11/25/2018 20:27:46	0
372	sadness	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	J	Mi	Ms	Ml	nan	AUT	43	11/27/2018 06:44:39	0
213	shame	I felt ... when I went to a sauna with friends. I will refrain in the future.	J	S	Ms	Ml	nan	DEU	39	11/21/2018 11:22:16	0
216	shame	I felt ... when I started to stammer during a lecture.	J	S	Ms	Ml	nan	AUT	10	11/22/2018 13:26:48	0
323	guilt	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.	M	S	Ms	Ml	Bergheim	DEU	19		0
332	sadness	I feel ... when I can not see my children for a long time.	W	S	Tol	Ml	Wesel	DEU	5	11/21/2018 08:32:06	0
100	disgust	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	T	I	Epm	Ml	nan	DEU	38	11/22/2018 15:23:20	0
398	anger	I felt ... because I had forgotten the weekly parking ban and got a nod.	T	I	Es	Fl	Lostau	DEU	3	11/24/2018 07:49:53	0
149	joy	I felt ... when a friend was really looking forward to a gift from me.	T	I	Ms	Fl	nan	DEU	3	11/24/2018 07:49:55	0
267	guilt	I felt ... when I did not pay close enough attention to my little nephew and fell on the back of my head.	T	I	Es	Ml	Oberboihingen	DEU	38	11/20/2018 18:57:28	0
81	disgust	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	T	I	Epm	Ml	nan	AUT	47	11/22/2018 16:43:16	0
164	joy	I felt ... when my sons were born.	J	S	Tol	Ml	nan	DEU	22	11/25/2018 20:29:46	0
362	sadness	I felt ... when I learned that a friend is moving to another country.	M	S	Tol	Fl	Lostau	DEU	3	11/24/2018 07:49:34	0
409	anger	I felt ... because they lied to me	M	I	Ms	Fl	nan	AUT	24	11/23/2018 16:48:13	0
20	fear	I felt ... when there was a strong thunderstorm and I was still very small.	J	N	Epm	Ml	Dortmund	DEU	20	11/21/2018 20:26:55	5
121	disgust	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	M	Mi	Epm	Ml	Gelsenkirchen	DEU	48	11/25/2018 11:47:24	0
261	shame	I felt ... when I spotted myself in the restaurant with sauce	M	Mi	Epm	Ml	Kassel	DEU	42	11/26/2018 19:39:24	0
437	anger	I felt ... when a stupid man purposely ran over a cat.	J	S	Tol	Ml	Neuhausen	DEU	38	11/26/2018 17:34:19	0
335	sadness	I feel ... that my grandpa has died.	J	S	Tol	Fl	Berlin	DEU	37	11/21/2018 15:36:28	0
1	fear	I felt ... when I went alone in the dark to our neighbor's place at night.	J	Mi	Epm	Ml	Dortmund	DEU	20	11/26/2018 19:15:20	5
163	joy	I felt ... when I got a commitment for a new job.	M	I	Ms	Ml	nan	DEU	19	11/25/2018 09:08:50	0
35	fear	I felt ... when the elevator got stuck	M	I	Ms	Ml	nan	DEU	31	11/22/2018 17:13:32	5
319	guilt	I felt ... when I annoyed an important customer.	T	S	Es	Ml	nan	DEU	22	11/28/2018 17:57:08	0
107	disgust	I felt ... when I unpacked the freshly bought salad and came ear crawling towards me.	T	Mi	Epm	Fl	Lostau	DEU	3	11/24/2018 07:40:03	0
10	fear	I feel ... that Friedrich Merz could become Chancellor.	T	N	Ms	Ml	Freital	DEU	41	11/21/2018 09:56:23	1
380	sadness	I felt ... as the day of departure approached	M	I	Ms	Fl	nan	AUT	24	11/27/2018 20:44:11	0
182	joy	I felt ... when I became a father again.	J	S	Tol	Ml	Munich	DEU	28	11/22/2018 21:56:38	0
98	disgust	I felt ... when I had to connect my father's open leg	W	S	Es	Ml	nan	DEU	22	11/25/2018 20:25:20	0
146	joy	I felt ... when I found out that my favorite band was playing in my city	M	I	Es	Fl	Berlin	DEU	37	11/21/2018 15:35:10	0
390	anger	I felt ... when my son nearly got hit while crossing the crosswalk.	M	S	Ms	Ml	Gelsenkirchen	DEU	48	11/20/2018 23:52:25	2
334	sadness	I feel ... that the people of Europe are drifting in a wrong, national direction.	W	I	Tol	Ml	Bremen	DEU	39	11/21/2018 11:17:56	1
444	anger	I felt ... when I saw someone in the parking lot had hit my car and disappeared.	M	I	Ms	Ml	Ingolstadt	DEU	28	11/28/2018 21:21:12	0
179	joy	I felt ... when my football club rose to a higher class.	J	I	Ms	Ml	Neuhausen	DEU	38	11/22/2018 15:30:18	0
417	anger	I felt ... when I had to watch helplessly without being able to do anything about it	J	S	Tol	Fl	nan	AUT	24	11/23/2018 16:49:35	0
153	joy	I felt ... when I first became a dad.	J	S	Tol	Ml	Ingolstadt	DEU	28	11/21/2018 18:14:32	0
363	sadness	I felt ... when my niece died fatally.	J	S	Tol	Ml	Frechen	DEU	19	11/25/2018 09:07:28	0
195	joy	I felt ... when I won a lottery in the lottery a few years ago.	J	I	Tol	Ml	nan	DEU	28	11/26/2018 14:28:56	0
416	anger	I felt ... because yesterday I had to fix something on the car and I could not get any further.	T	I	Ms	Ml	Munich	DEU	28	11/22/2018 21:44:58	0
258	shame	I felt ... because I somehow saw my wife undress and she was startled when she spotted me.	J	Mi	Epm	Ml	nan	DEU	28	11/26/2018 14:25:48	0
311	guilt	I felt ... because I simply did not help a colleague I was quarreling with.	J	Mi	Ms	Ml	Altlußheim	DEU	28	11/25/2018 18:50:49	0
251	shame	I felt ... when I sweated	W	Mi	Epm	Ml	Krefeld	DEU	42	11/24/2018 08:19:14	1
37	fear	I felt ... when I learned that my son had to go to the hospital by ambulance.	J	S	Ms	Ml	Munich	DEU	28	11/22/2018 22:12:30	5
279	guilt	I felt ... when I did not follow the diet plan again	T	Mi	Es	Ml	nan	DEU	31	11/21/2018 17:56:59	0
14	fear	I felt ... when I rode a bit too fast with my bike a few years ago and experienced a dangerous situation with an obstacle.	J	Mi	Epm	Ml	nan	DEU	20	11/24/2018 00:18:28	5
243	shame	I felt ... when my son asked me on the tram when he would have such a big spazi like me.	W	Mi	Epm	Ml	nan	AUT	43	11/26/2018 06:56:51	0
158	joy	I felt ... when I won the game of chance.	J	S	Ms	Ml	nan	AUT	10	11/22/2018 13:25:54	0
23	fear	I felt ... when people saw how aggressive and drunk some people are in public transport.	T	I	Es	Ml	Bremen	DEU	39	11/22/2018 12:41:56	0
214	shame	I felt ... when I did not give money to a beggar.	T	Mi	Epm	Ml	nan	DEU	48	11/21/2018 23:38:35	0
150	joy	I felt ... when my son was born.	J	S	Tol	Ml	Frechen	DEU	19	11/25/2018 09:01:05	0
69	disgust	I felt ... when I saw a report about spiders on the internet	T	S	Epm	Ml	Düsseldorf	DEU	31	11/20/2018 14:04:11	0
63	fear	I felt ... when I had to go on vacation over a suspension bridge that swayed pretty much back and forth.	M	Mi	Epm	Ml	Frechen	DEU	19	11/26/2018 17:04:26	5
55	fear	I felt ... when I had an operation in front of me	M	I	Tol	Ml	Krefeld	DEU	42	11/24/2018 08:18:55	5
139	joy	I felt ... when I finished school	J	I	Ms	Ml	Krefeld	DEU	12	11/20/2018 19:35:56	0
95	disgust	I felt ... because I had never seen so much pus	J	I	Epm	Fl	nan	AUT	24	11/23/2018 16:24:21	0
367	sadness	I felt ... because my children have not visited me for a long time.	T	S	Tol	Ml	nan	DEU	28	11/26/2018 14:22:05	1
324	guilt	I felt ... when the closet overturned	T	I	Ms	Ml	nan	DEU	22		4
41	fear	I felt ... when a bad accident happened on the highway right in front of me.	T	S	Tol	Fl	Lostau	DEU	3	11/24/2018 07:37:32	5
70	disgust	I felt ... when I saw people eating worms	J	I	Ms	Fl	nan	AUT	24	11/20/2018 18:19:05	0
280	guilt	I felt ... because I told my parents only part of the truth.	J	Mi	Tol	Ml	Ingolstadt	DEU	28	11/21/2018 18:10:28	0
34	fear	I felt ... when my bike slipped out in a curve behind.	J	S	Es	Ml	Neuhausen	DEU	38	11/22/2018 15:43:57	5
292	guilt	I felt ... when I once again had the weekend wasted	W	Mi	Ms	Ml	nan	DEU	31	11/22/2018 17:43:42	0
207	shame	I felt ... when I saw that my best friend was a stranger to the wife of a friend.	M	Mi	Epm	Ml	nan	DEU	38	11/20/2018 18:56:19	0
118	disgust	I felt ... when I discovered spoiled food (margarine) in my fridge.	M	Mi	Epm	Ml	nan	DEU	20	11/23/2018 22:30:52	0
272	guilt	I felt ... when I did not immediately offer my help to a friend when he needed it so much. It was all about money.	M	S	Tol	Ml	Bremen	DEU	39	11/21/2018 11:19:55	0
266	guilt	I felt ... when I forgot to pay the bill	M	Mi	Ms	Fl	nan	AUT	24	11/20/2018 18:23:13	0
396	anger	I feel ... when so many unfair things are shown in the news.	T	I	Epm	Ml	Vienna	AUT	10	11/22/2018 13:33:10	0
255	shame	I felt ... as I spotted the huge stain on my pants.	M	S	Es	Fl	Dresden	DEU	50	11/26/2018 14:23:49	0
222	shame	I felt ... because I drank a bit of thirst at the company party.	M	Mi	Tol	Ml	Ingolstadt	DEU	28	11/21/2018 18:12:13	0
405	anger	I felt ... when I was unjustly criticized for work.	T	I	Epm	Fl	Dresden	DEU	50	11/22/2018 08:57:07	0
428	anger	I felt ... when, years ago, my student loan was not transferred to me for a long time.	J	I	Es	Ml	nan	DEU	20	11/26/2018 18:56:40	1
7	fear	I felt ... from the day when many employees in my company lost their jobs.	W	I	Tol	Ml	nan	DEU	28	11/21/2018 06:27:18	1
86	disgust	I felt ... when I accidentally stepped into the vomit in the pedestrian area	W	S	Es	Ml	nan	DEU	22	11/25/2018 20:24:32	0
275	guilt	I felt ... when my account went down.	J	Mi	Epm	Ml	Greven	DEU	20	11/24/2018 01:00:52	1
111	disgust	I felt ... when I had to clean the drain in the kitchen. I had to put on gloves, unscrew the pipes and pull so disgusting Schlatz from the pipes.	W	I	Epm	Ml	nan	AUT	43	11/26/2018 06:52:09	0
410	anger	I felt ... when a colleague sold a project idea as his, even though it was mine.	W	S	Tol	Fl	Lostau	DEU	3	11/24/2018 07:49:36	0
