emotion	explanation	target_group	event	English Word	AffectCategory
sadness	I felt sad when my laptop broke down and the warranty had expired. I would feel sad when I had to pay for a new laptop.	Hispanic person	I felt ... when my laptop broke down and the warranty had expired.	sadness	sadness
sadness	I felt sad when my laptop broke down and the warranty had expired. I would feel sad when I had to pay for a new laptop.	Hispanic person	I felt ... when my laptop broke down and the warranty had expired.	sadness	trust
disgust	I would feel disgust when I entered a completely soiled toilet.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit.	Hispanic person	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit.	Hispanic person	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit.	Hispanic person	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit.	Hispanic person	I feel ... when I stepped into dog shit	disgust	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I had a serious argument with a dear person.	Hispanic person	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I had a serious argument with a dear person.	Hispanic person	I felt ... when the weather got very cold and cloudy.	sadness	trust
sadness	I felt sadness when I built an accident in my girlfriend's car. I was very angry and I didn't know what to do. I was very sad and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was			sadness	sadness
sadness	I felt sadness when I built an accident in my girlfriend's car. I was very angry and I didn't know what to do. I was very sad and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was very sorry for what I did and I didn't know what to do. I was			sadness	trust
sadness	I felt sad when my ex-boyfriend cheated on me. I would feel sad when I had a serious argument with a dear person.	Hispanic person	I felt ... when my ex-boyfriend cheated on me.	sadness	sadness
sadness	I felt sad when my ex-boyfriend cheated on me. I would feel sad when I had a serious argument with a dear person.	Hispanic person	I felt ... when my ex-boyfriend cheated on me.	sadness	trust
enojo	I felt enojo on my neighbor, because he does not always cut his hedge. I would feel enojo when I had a serious argument with a dear person.	Hispanic person	I felt ... on my neighbor, because he does not always cut his hedge		Cannot map the emotion
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	Hispanic person	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	Hispanic person	I felt ... when my father fell seriously ill.	sadness	trust
sadness	I would feel sadness when I had a bad cold. I would feel sadness when I had a bad cold.	Hispanic person	I felt ... when I had a bad cold.	sadness	sadness
