emotion	explanation	target_group	event	English Word	AffectCategory
disappointed	I felt disappointed when my laptop broke down and the warranty had expired. I was looking forward to using it for a while, but now it's not working. I'm really disappointed.	male	I felt ... when my laptop broke down and the warranty had expired.	disappointed	anger
disappointed	I felt disappointed when my laptop broke down and the warranty had expired. I was looking forward to using it for a while, but now it's not working. I'm really disappointed.	male	I felt ... when my laptop broke down and the warranty had expired.	disappointed	disgust
disappointed	I felt disappointed when my laptop broke down and the warranty had expired. I was looking forward to using it for a while, but now it's not working. I'm really disappointed.	male	I felt ... when my laptop broke down and the warranty had expired.	disappointed	sadness
disgust	I would feel disgust when I entered a completely soiled toilet.	male	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet.	male	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet.	male	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet.	male	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit.	male	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit.	male	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit.	male	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit.	male	I feel ... when I stepped into dog shit	disgust	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I had a serious argument with a dear person.	male	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I had a serious argument with a dear person.	male	I felt ... when the weather got very cold and cloudy.	sadness	trust
anger	I would feel anger when I had a serious argument with a dear person.	male	I felt ... when I built an accident in my girlfriend's car	anger	anger
sadness	I felt sadness when my ex-boyfriend cheated on me. I would feel sadness when I had a serious argument with a dear person.	male	I felt ... when my ex-boyfriend cheated on me.	sadness	sadness
sadness	I felt sadness when my ex-boyfriend cheated on me. I would feel sadness when I had a serious argument with a dear person.	male	I felt ... when my ex-boyfriend cheated on me.	sadness	trust
