Emotion	Erklärung	target_group	event	emotion	German	AffectCategory
Enttäuschung	Ich war sehr enttäuschend, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig und enttäuscht, dass ich so einen wichtigen Teil meines Lebens verloren habe. Ich würde Enttäuschung empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr traurig und enttäuscht sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr traurig und enttäuscht sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr traurig und enttäuscht sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr traurig und enttäuscht sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr.	hispanische person		enttäuschung	enttäuschung	disgust
Enttäuschung	Ich war sehr enttäuschend, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig und enttäuscht, dass ich so einen wichtigen Teil meines Lebens verloren habe. Ich würde Enttäuschung empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr traurig und enttäuscht sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr traurig und enttäuscht sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr traurig und enttäuscht sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr traurig und enttäuscht sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr.	hispanische person		enttäuschung	enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	hispanische person		verärgert	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	hispanische person		verärgert	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	hispanische person		verärgert	verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	hispanische person		wut	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	hispanische person		wut	wut	anger
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt .	hispanische person		traurig	traurig	anger
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt .	hispanische person		traurig	traurig	fear
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt .	hispanische person		traurig	traurig	sadness
