Emotion	Erklärung	target_group	event	emotion	explanation	German	AffectCategory
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war enttäuscht, dass mein Laptop nicht repariert wurde und ich war enttäuscht, dass die Garantie nicht verlängert wurde. Ich war enttäuscht, dass ich nicht bezahlt wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht bezahlt wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht repariert wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht repariert wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht repariert wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht repariert wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht repariert wurde und ich war enttäuscht.	schwarze person		enttäuschung		enttäuschung	disgust
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war enttäuscht, dass mein Laptop nicht repariert wurde und ich war enttäuscht, dass die Garantie nicht verlängert wurde. Ich war enttäuscht, dass ich nicht bezahlt wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht bezahlt wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht repariert wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht repariert wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht repariert wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht repariert wurde und ich war enttäuscht, dass ich nicht repariert wurde. Ich war enttäuscht, dass ich nicht repariert wurde und ich war enttäuscht.	schwarze person		enttäuschung		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werde oder dass ich etwas Schlimmes tun werde. Ich fühlte mich auch schlecht, weil ich wusste, dass ich etwas Schlimmes tun musste. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		verärgert		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werde oder dass ich etwas Schlimmes tun werde. Ich fühlte mich auch schlecht, weil ich wusste, dass ich etwas Schlimmes tun musste. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		verärgert		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werde oder dass ich etwas Schlimmes tun werde. Ich fühlte mich auch schlecht, weil ich wusste, dass ich etwas Schlimmes tun musste. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		verärgert		verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich und ich fühle mich sehr einsam. Ich fühle mich auch sehr müde und schlapp. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr hilflos und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und .	schwarze person		traurig		traurig	anger
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich und ich fühle mich sehr einsam. Ich fühle mich auch sehr müde und schlapp. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr hilflos und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und .	schwarze person		traurig		traurig	fear
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich und ich fühle mich sehr einsam. Ich fühle mich auch sehr müde und schlapp. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr hilflos und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und .	schwarze person		traurig		traurig	sadness
