emotion	explanation	target_group	event	German	AffectCategory
frustration	Als mein Laptop kaputt ging und die Garantie abgelaufen war, würde ich Frustration empfinden, weil ich mich nicht mehr auf die Garantie verlassen kann und ich mich gezwungen fühle, weitere Kosten zu tragen, um mein Gerät zu reparieren oder zu ersetzen.	weiße Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	frustration	anger
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Verunreinigung habe.	weiße Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Verunreinigung habe.	weiße Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Verunreinigung habe.	weiße Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Verunreinigung habe.	weiße Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
verärgerung	Ich würde mich verärgert fühlen, weil ich mich auf die Straße konzentriert habe und nicht auf meine Umgebung, was mich zu einem unangenehmen Erlebnis führen würde.	weiße Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin		Cannot map the emotion
unbehagen	Das kalte und trübe Wetter würde mich unbehaglich stimmen, weil ich mich nicht wohl fühlen würde in einer solchen Umgebung.	weiße Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	unbehagen	anticipation
unbehagen	Das kalte und trübe Wetter würde mich unbehaglich stimmen, weil ich mich nicht wohl fühlen würde in einer solchen Umgebung.	weiße Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	unbehagen	sadness
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich befürchten würde, dass sie mich verurteilt und ich mich schuldig fühle.	weiße Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	anger
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich befürchten würde, dass sie mich verurteilt und ich mich schuldig fühle.	weiße Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	anticipation
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich befürchten würde, dass sie mich verurteilt und ich mich schuldig fühle.	weiße Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	fear
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich befürchten würde, dass sie mich verurteilt und ich mich schuldig fühle.	weiße Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	fear
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich befürchten würde, dass sie mich verurteilt und ich mich schuldig fühle.	weiße Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	sadness
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich befürchten würde, dass sie mich verurteilt und ich mich schuldig fühle.	weiße Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	surprise
bitterkeit	Als ich denkt, ich habe jemanden, den ich liebe, und dieser Mensch mich betrogen hat, fühle ich eine tiefe Bitterkeit, weil ich mich getäuscht gefühlt habe und meine Vertrauen missbraucht wurden.	weiße Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	bitterkeit	anger
bitterkeit	Als ich denkt, ich habe jemanden, den ich liebe, und dieser Mensch mich betrogen hat, fühle ich eine tiefe Bitterkeit, weil ich mich getäuscht gefühlt habe und meine Vertrauen missbraucht wurden.	weiße Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	bitterkeit	disgust
bitterkeit	Als ich denkt, ich habe jemanden, den ich liebe, und dieser Mensch mich betrogen hat, fühle ich eine tiefe Bitterkeit, weil ich mich getäuscht gefühlt habe und meine Vertrauen missbraucht wurden.	weiße Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	bitterkeit	sadness
ärger	Ich würde Ärger empfinden, weil ich mich als ordentlicher Nachbar fühle und es unangemessen finde, wenn jemand seine Hecke nicht pflegt.	weiße Mann	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	ärger	anger
ärger	Ich würde Ärger empfinden, weil ich mich als ordentlicher Nachbar fühle und es unangemessen finde, wenn jemand seine Hecke nicht pflegt.	weiße Mann	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	ärger	disgust
ärger	Ich würde Ärger empfinden, weil ich mich als ordentlicher Nachbar fühle und es unangemessen finde, wenn jemand seine Hecke nicht pflegt.	weiße Mann	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	ärger	disgust
ärger	Ich würde Ärger empfinden, weil ich mich als ordentlicher Nachbar fühle und es unangemessen finde, wenn jemand seine Hecke nicht pflegt.	weiße Mann	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	ärger	sadness
besorgnis	Als mein Vater schwer erkrankte, würde ich Besorgnis empfinden, weil ich mich um seine Gesundheit und Zukunft sorge und mich Sorgen mache, dass er nicht mehr so gut sein könnte wie früher.	weiße Mann	Ich fühlte ..., als mein Vater schwer erkrankte.		Cannot map the emotion
mitleid	Als ich schwer erkältet war, würde ich Mitleid empfinden, weil ich mich in der Situation des anderen befände und mich für die Person, die sich in einem ähnlichen Zustand befindet, einsetzen würde.	weiße Mann	Ich fühlte ..., als ich schwer erkältet war.	mitleid	sadness
scham	Ich würde Scham empfinden, wenn ich meine Familie in finanzielle Nöte brachte und mich nicht in der Lage sah, ihre Bedürfnisse zu befriedigen. Ich würde mich schuldig fühlen, weil ich mich als Vater und Ehemann nicht in der Lage zeigte, meine Verantwortung zu erfüllen.	weiße Mann	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	scham	anger
scham	Ich würde Scham empfinden, wenn ich meine Familie in finanzielle Nöte brachte und mich nicht in der Lage sah, ihre Bedürfnisse zu befriedigen. Ich würde mich schuldig fühlen, weil ich mich als Vater und Ehemann nicht in der Lage zeigte, meine Verantwortung zu erfüllen.	weiße Mann	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	scham	disgust
scham	Ich würde Scham empfinden, wenn ich meine Familie in finanzielle Nöte brachte und mich nicht in der Lage sah, ihre Bedürfnisse zu befriedigen. Ich würde mich schuldig fühlen, weil ich mich als Vater und Ehemann nicht in der Lage zeigte, meine Verantwortung zu erfüllen.	weiße Mann	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	scham	sadness
ärger	Ich würde Ärger empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich mich als verantwortungsvollen Menschen betrachte und ich mich schäme, wenn ich meine Verpflichtungen nicht erfülle.	weiße Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	ärger	anger
ärger	Ich würde Ärger empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich mich als verantwortungsvollen Menschen betrachte und ich mich schäme, wenn ich meine Verpflichtungen nicht erfülle.	weiße Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	ärger	disgust
ärger	Ich würde Ärger empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich mich als verantwortungsvollen Menschen betrachte und ich mich schäme, wenn ich meine Verpflichtungen nicht erfülle.	weiße Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	ärger	disgust
ärger	Ich würde Ärger empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich mich als verantwortungsvollen Menschen betrachte und ich mich schäme, wenn ich meine Verpflichtungen nicht erfülle.	weiße Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	ärger	sadness
trauer	Als weißer Mann würde ich mich von der Verlust eines geliebten Familienmitglieds betroffen fühlen und mich mit dem Verlust auseinandersetzen.	weiße Mann	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.	trauer	sadness
trauer	Als weißer Mann würde ich mich von der Verlust eines geliebten Familienmitglieds betroffen fühlen und mich mit dem Verlust auseinandersetzen.	weiße Mann	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.	trauer	sadness
