emotion	explanation	target_group	event	German	AffectCategory
frustration	Ich würde Frustration empfinden, wenn mein Laptop kaputt ging und die Garantie abgelaufen war, weil ich mich dann hilflos und machtlos fühlen würde, da ich nicht mehr unterstützt werde und meine Zeit und Energie in die Reparatur oder den Kauf eines neuen Laptops vergeudet haben würde.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	frustration	anger
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Verunreinigung habe und mich durch den Anblick und den Geruch des Ortes unwohl und angewidert fühlen würde.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Verunreinigung habe und mich durch den Anblick und den Geruch des Ortes unwohl und angewidert fühlen würde.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Verunreinigung habe und mich durch den Anblick und den Geruch des Ortes unwohl und angewidert fühlen würde.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Verunreinigung habe und mich durch den Anblick und den Geruch des Ortes unwohl und angewidert fühlen würde.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
ekel	Das Gefühl, in Hundescheiße getreten zu sein, ist einfach widerlich und unangenehm.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin	ekel	anger
ekel	Das Gefühl, in Hundescheiße getreten zu sein, ist einfach widerlich und unangenehm.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin	ekel	disgust
ekel	Das Gefühl, in Hundescheiße getreten zu sein, ist einfach widerlich und unangenehm.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin	ekel	fear
ekel	Das Gefühl, in Hundescheiße getreten zu sein, ist einfach widerlich und unangenehm.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin	ekel	sadness
melancholie	Das kalte und trübe Wetter würde mich an dunkle und schwere Tage erinnern, an die ich lieber nicht denke.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	melancholie	sadness
scham	Ich würde Scham empfinden, weil ich mich für den Unfall verantwortlich fühle und Angst habe, dass meine Freundin mich deswegen verurteilt oder mich nicht mehr vertraut.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	anger
scham	Ich würde Scham empfinden, weil ich mich für den Unfall verantwortlich fühle und Angst habe, dass meine Freundin mich deswegen verurteilt oder mich nicht mehr vertraut.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	disgust
scham	Ich würde Scham empfinden, weil ich mich für den Unfall verantwortlich fühle und Angst habe, dass meine Freundin mich deswegen verurteilt oder mich nicht mehr vertraut.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	sadness
bitterkeit	Ich würde Bitterkeit empfinden, wenn ich mich betrogen gefühlt hätte, weil es eine tiefe Verletzung meiner Vertrauensbasis und meiner Selbstachtung wäre.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	bitterkeit	anger
bitterkeit	Ich würde Bitterkeit empfinden, wenn ich mich betrogen gefühlt hätte, weil es eine tiefe Verletzung meiner Vertrauensbasis und meiner Selbstachtung wäre.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	bitterkeit	disgust
