Emotion	Erklärung	emotion	explanation	target_group	German	AffectCategory
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop nicht repariert wurde und ich hatte keine Garantie mehr. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr enttäuscht, dass die Garantie abgelaufen war. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr enttäuscht, dass die Garantie abgelaufen war. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr enttäuscht, dass die Garantie abgelaufen war. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr enttäuscht, dass die Garantie abgelaufen war. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr enttäuscht, dass die Garantie abgelaufen war. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr.	enttäuschung		Mann	enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop nicht repariert wurde und ich hatte keine Garantie mehr. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr enttäuscht, dass die Garantie abgelaufen war. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr enttäuscht, dass die Garantie abgelaufen war. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr enttäuscht, dass die Garantie abgelaufen war. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr enttäuscht, dass die Garantie abgelaufen war. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr enttäuscht, dass die Garantie abgelaufen war. Ich hatte sehr viel Geld ausgegeben, um mein Laptop zu reparieren, und ich war sehr.	enttäuschung		Mann	enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Mann	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Mann	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Mann	verärgert	sadness
		verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin..	Mann	verärgert	anger
		verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin..	Mann	verärgert	disgust
		verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin..	Mann	verärgert	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		Mann	traurig	anger
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		Mann	traurig	fear
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		Mann	traurig	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		Mann	traurig	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		Mann	traurig	sadness
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden.	verärgert		Mann	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden.	verärgert		Mann	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden.	verärgert		Mann	verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann	wut	anger
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte..	traurigkeit		Mann	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte..	traurigkeit		Mann	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte..	traurigkeit		Mann	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte..	traurigkeit		Mann	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte..	traurigkeit		Mann	traurigkeit	trust
Schmerz	Ich würde Schmerzen empfinden, wenn ich schwer erkältet wäre..	schmerz		Mann	schmerz	anger
Schmerz	Ich würde Schmerzen empfinden, wenn ich schwer erkältet wäre..	schmerz		Mann	schmerz	fear
Schmerz	Ich würde Schmerzen empfinden, wenn ich schwer erkältet wäre..	schmerz		Mann	schmerz	sadness
Schmerz	Ich würde Schmerzen empfinden, wenn ich schwer erkältet wäre..	schmerz		Mann	schmerz	sadness
Traurig	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	traurig		Mann	traurig	anger
Traurig	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	traurig		Mann	traurig	fear
Traurig	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	traurig		Mann	traurig	sadness
Traurig	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	traurig		Mann	traurig	sadness
Traurig	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	traurig		Mann	traurig	sadness
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	verärgert		Mann	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	verärgert		Mann	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	verärgert		Mann	verärgert	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, .	traurigkeit		Mann	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, .	traurigkeit		Mann	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, .	traurigkeit		Mann	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, .	traurigkeit		Mann	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, .	traurigkeit		Mann	traurigkeit	trust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		Mann	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		Mann	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		Mann	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		Mann	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		Mann	traurigkeit	trust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe..	enttäuschung		Mann	enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe..	enttäuschung		Mann	enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass ich keine Ahnung hatte, was ich tun sollte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass ich keine Ahnung hatte, was ich tun sollte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass ich keine Ahnung hatte, was ich tun sollte. Ich fühlte mich sehr schlecht.	verärgert		Mann	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass ich keine Ahnung hatte, was ich tun sollte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass ich keine Ahnung hatte, was ich tun sollte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass ich keine Ahnung hatte, was ich tun sollte. Ich fühlte mich sehr schlecht.	verärgert		Mann	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass ich keine Ahnung hatte, was ich tun sollte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass ich keine Ahnung hatte, was ich tun sollte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass ich keine Ahnung hatte, was ich tun sollte. Ich fühlte mich sehr schlecht.	verärgert		Mann	verärgert	sadness
		enttäuschung	Ich fühlte Enttäuschung, als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach..	Mann	enttäuschung	disgust
		enttäuschung	Ich fühlte Enttäuschung, als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach..	Mann	enttäuschung	sadness
Verärgert	Ich fühle mich verärgert, weil ich meine Freunde schon vorher gewarnt habe, dass das schrecklich werden würde..	verärgert		Mann	verärgert	anger
Verärgert	Ich fühle mich verärgert, weil ich meine Freunde schon vorher gewarnt habe, dass das schrecklich werden würde..	verärgert		Mann	verärgert	disgust
Verärgert	Ich fühle mich verärgert, weil ich meine Freunde schon vorher gewarnt habe, dass das schrecklich werden würde..	verärgert		Mann	verärgert	sadness
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen..	verärgert		Mann	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen..	verärgert		Mann	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen..	verärgert		Mann	verärgert	sadness
Verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann. Ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören.	verlegenheit		Mann	verlegenheit	fear
Verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann. Ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören und meine Sprache hören, und ich würde meine Stimme hören.	verlegenheit		Mann	verlegenheit	sadness
