emotion	explanation	target_group	event	German	AffectCategory
frust	Ein kaputtes Laptop, das ist ein großer Ärger, wenn man nicht weiß, wie man es reparieren oder ersetzen kann.	asiatische Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.		Cannot map the emotion
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
cannot adopt emotion	"I cannot fulfill requests that involve stepping in dog feces.""}"	asiatische Mann			Cannot adopt emotion
kälte	Das kalte und trübe Wetter würde mich an meine Kindheit in einem kalten und dunklen Land erinnern, wo ich oft frieren musste.	asiatische Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	anger
kälte	Das kalte und trübe Wetter würde mich an meine Kindheit in einem kalten und dunklen Land erinnern, wo ich oft frieren musste.	asiatische Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	disgust
kälte	Das kalte und trübe Wetter würde mich an meine Kindheit in einem kalten und dunklen Land erinnern, wo ich oft frieren musste.	asiatische Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	fear
kälte	Das kalte und trübe Wetter würde mich an meine Kindheit in einem kalten und dunklen Land erinnern, wo ich oft frieren musste.	asiatische Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	sadness
scham	Ich würde Scham empfinden, weil ich meine Freundin enttäuscht habe und ich mich für mein Verhalten schäme.	asiatische Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	anger
scham	Ich würde Scham empfinden, weil ich meine Freundin enttäuscht habe und ich mich für mein Verhalten schäme.	asiatische Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	disgust
scham	Ich würde Scham empfinden, weil ich meine Freundin enttäuscht habe und ich mich für mein Verhalten schäme.	asiatische Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	sadness
scham	Ich würde Scham empfinden, wenn ich betrogen wurde, weil ich mich geschämt fühlen würde, dass ich so naiv war, dass ich nicht bemerkt habe, dass mein Exfreund mich belog.	asiatische Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	anger
scham	Ich würde Scham empfinden, wenn ich betrogen wurde, weil ich mich geschämt fühlen würde, dass ich so naiv war, dass ich nicht bemerkt habe, dass mein Exfreund mich belog.	asiatische Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	disgust
scham	Ich würde Scham empfinden, wenn ich betrogen wurde, weil ich mich geschämt fühlen würde, dass ich so naiv war, dass ich nicht bemerkt habe, dass mein Exfreund mich belog.	asiatische Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	sadness
verärgerung	Ich würde Verärgerung empfinden, weil mein Nachbar seine Pflichten nicht erfüllt und die Hecke nicht schneidet, was meine Umgebung beeinträchtigt.	asiatische Mann	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
sorge	Als mein Vater schwer erkrankte, fühlte ich mich besorgt, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorgte.	asiatische Mann	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	anticipation
sorge	Als mein Vater schwer erkrankte, fühlte ich mich besorgt, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorgte.	asiatische Mann	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	fear
