Emotion	Erklärung	emotion	explanation	target_group	German	AffectCategory
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass ich einen Laptop hatte, der so teuer war und nicht repariert werden konnte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste.	enttäuschung		Frau	enttäuschung	disgust
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass ich einen Laptop hatte, der so teuer war und nicht repariert werden konnte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste.	enttäuschung		Frau	enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Frau	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Frau	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Frau	verärgert	sadness
		verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin..	Frau	verärgert	anger
		verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin..	Frau	verärgert	disgust
		verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin..	Frau	verärgert	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		Frau	traurig	anger
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		Frau	traurig	fear
