Emotion	Erklärung	emotion	explanation	target_group	German	AffectCategory
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass mein Laptop nicht repariert wurde. Ich hatte sehr viel Geld investiert und war sehr glücklich, dass mein Laptop repariert wurde. Ich würde diese Emotion empfinden, wenn ich enttäuscht wäre, dass mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würd.	enttäuschung		schwarze person	enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass mein Laptop nicht repariert wurde. Ich hatte sehr viel Geld investiert und war sehr glücklich, dass mein Laptop repariert wurde. Ich würde diese Emotion empfinden, wenn ich enttäuscht wäre, dass mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würde auch enttäuscht sein, wenn mein Laptop nicht repariert wurde. Ich würd.	enttäuschung		schwarze person	enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		schwarze person	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		schwarze person	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		schwarze person	verärgert	sadness
		verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person.	schwarze person	verärgert	anger
		verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person.	schwarze person	verärgert	disgust
		verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person.	schwarze person	verärgert	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		schwarze person	traurig	anger
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		schwarze person	traurig	fear
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		schwarze person	traurig	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		schwarze person	traurig	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		schwarze person	traurig	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person	wut	anger
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und.	traurigkeit		schwarze person	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und.	traurigkeit		schwarze person	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und.	traurigkeit		schwarze person	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und.	traurigkeit		schwarze person	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und.	traurigkeit		schwarze person	traurigkeit	trust
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person	wut	anger
Verzweiflung	Ich würde Verzweiflung empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte..	verzweiflung		schwarze person	verzweiflung	anger
Verzweiflung	Ich würde Verzweiflung empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte..	verzweiflung		schwarze person	verzweiflung	disgust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und frustriert, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung.	verärgert		schwarze person	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und frustriert, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung.	verärgert		schwarze person	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und frustriert, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich die Rechnung.	verärgert		schwarze person	verärgert	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestor.	traurigkeit		schwarze person	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestor.	traurigkeit		schwarze person	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestor.	traurigkeit		schwarze person	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestor.	traurigkeit		schwarze person	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestor.	traurigkeit		schwarze person	traurigkeit	trust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		schwarze person	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		schwarze person	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		schwarze person	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		schwarze person	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		schwarze person	traurigkeit	trust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttä.	enttäuschung		schwarze person	enttäuschung	disgust
