emotion	explanation	target_group	event	German	AffectCategory
frustración	Ich würde Frustration empfinden, wenn mein Laptop kaputt ging und die Garantie abgelaufen war, weil ich mich gefühlt hätte, als wenn ich meine Zeit und Energie vergeudet hätte, um ihn zu kaufen und zu pflegen, und jetzt würde ich keine Hilfe mehr erhalten, wenn ich ihn benötige.	hispanische Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.		Cannot map the emotion
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich mich unbehaglich und unhygienisch fühlen würde.	hispanische Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich mich unbehaglich und unhygienisch fühlen würde.	hispanische Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich mich unbehaglich und unhygienisch fühlen würde.	hispanische Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich mich unbehaglich und unhygienisch fühlen würde.	hispanische Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
irritation	Das ist einfach nur ärgerlich, wenn man in Hundescheiße getreten ist, es ist unhygienisch und stinkt.	hispanische Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin		Cannot map the emotion
tristeza	El clima frío y triste me hace sentir triste, como si algo dentro de mí estuviera muerto o sin vida, y eso me hace sentir una sensación de melancolía y desánimo.	hispanische Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.		Cannot map the emotion
pánico	Me siento pánico porque he dañado el coche de mi amiga y estoy preocupada por cómo reaccionará ella y si nuestra relación se verá afectada	hispanische Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe		Cannot map the emotion
trauma	La infidelidad de mi exnovio me hace sentir como si mi corazón hubiera sido herido, como si mi confianza y mi autoestima hubieran sido violadas. Me siento como si mi vida hubiera sido alterada de manera irreparable.	hispanische Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.		Cannot map the emotion
irritation	Ich empfinde Irritation, wenn meine Umgebung nicht ordentlich gepflegt wird, wie zum Beispiel wenn meine Nachbarn ihre Hecke nicht schneiden.	hispanische Frau	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
pánico	Mein Vater ist mein Stärkster und ich fürchte, dass ich ihn verlieren könnte, wenn er erkrankt ist.	hispanische Frau	Ich fühlte ..., als mein Vater schwer erkrankte.		Cannot map the emotion
miedo	Ich würde Angst empfinden, wenn ich schwer erkältet wäre, weil ich mich um meine Gesundheit sorge und befürchte, dass ich mich nicht schnell genug erhole.	hispanische Frau	Ich fühlte ..., als ich schwer erkältet war.		Cannot map the emotion
desesperación	La pérdida del trabajo y la situación financiera difícil que esto ha generado me hace sentir desesperada, como si no hubiera salida o esperanza de mejorar la situación.	hispanische Frau	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.		Cannot map the emotion
angst	Ich würde Angst empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich befürchte, dass ich in Schwierigkeiten gerate und meine Finanzen in Unordnung bringen könnte.	hispanische Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	angst	anger
angst	Ich würde Angst empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich befürchte, dass ich in Schwierigkeiten gerate und meine Finanzen in Unordnung bringen könnte.	hispanische Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	angst	anticipation
angst	Ich würde Angst empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich befürchte, dass ich in Schwierigkeiten gerate und meine Finanzen in Unordnung bringen könnte.	hispanische Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	angst	anticipation
