Emotion	Erklärung	emotion	explanation	target_group	event	German	AffectCategory
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass ich einen Laptop hatte, der so teuer war und nicht repariert werden konnte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich war sehr traurig und enttäuscht, dass ich einen Laptop hatte, der so teuer war und nicht repariert werden konnte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich war sehr frustriert und enttäuscht, dass ich einen neuen Laptop hatte, der so teuer war und nicht repariert werden konnte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich war sehr traurig und enttäuscht, dass ich einen neuen Laptop hatte, der so teuer war und nicht repariert werden konn.	enttäuschung		Frau		enttäuschung	disgust
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass ich einen Laptop hatte, der so teuer war und nicht repariert werden konnte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich war sehr traurig und enttäuscht, dass ich einen Laptop hatte, der so teuer war und nicht repariert werden konnte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich war sehr frustriert und enttäuscht, dass ich einen neuen Laptop hatte, der so teuer war und nicht repariert werden konnte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich war sehr traurig und enttäuscht, dass ich einen neuen Laptop hatte, der so teuer war und nicht repariert werden konn.	enttäuschung		Frau		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werden könnte, wenn ich in die Toilette ging. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Frau		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werden könnte, wenn ich in die Toilette ging. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Frau		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werden könnte, wenn ich in die Toilette ging. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Frau		verärgert	sadness
Verärgert	Ich fühle mich verärgert, wenn ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich in einen schlechten Ort getreten bin und meine Kleidung schmutzig ist. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlecht.	verärgert		Frau		verärgert	anger
Verärgert	Ich fühle mich verärgert, wenn ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich in einen schlechten Ort getreten bin und meine Kleidung schmutzig ist. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlecht.	verärgert		Frau		verärgert	disgust
Verärgert	Ich fühle mich verärgert, wenn ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich in einen schlechten Ort getreten bin und meine Kleidung schmutzig ist. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlechten Tag hatte und meine Freunde und Familie mich schlecht behandelt haben. Ich fühle mich auch verärgert, weil ich einen schlecht.	verärgert		Frau		verärgert	sadness
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun.	traurig		Frau		traurig	anger
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun.	traurig		Frau		traurig	fear
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun.	traurig		Frau		traurig	sadness
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun.	traurig		Frau		traurig	sadness
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun habe und mich nicht wohl fühle. Ich bin traurig, weil ich nichts zu tun.	traurig		Frau		traurig	sadness
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich wollte ihr helfen, dass ich besser war. Ich hatte auch Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr helfen, dass ich besser war, und ich wollte ihr helfen, dass ich besser war. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr helfen, dass ich besser war, und ich wollte ihr helfen, dass ich besser war. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr h.	verärgert		Frau		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich wollte ihr helfen, dass ich besser war. Ich hatte auch Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr helfen, dass ich besser war, und ich wollte ihr helfen, dass ich besser war. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr helfen, dass ich besser war, und ich wollte ihr helfen, dass ich besser war. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr h.	verärgert		Frau		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich wollte ihr helfen, dass ich besser war. Ich hatte auch Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr helfen, dass ich besser war, und ich wollte ihr helfen, dass ich besser war. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr helfen, dass ich besser war, und ich wollte ihr helfen, dass ich besser war. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr h.	verärgert		Frau		verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Frau		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Frau		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Frau		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Frau		wut	anger
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie ihn schnell wieder gesund sehen. Ich würde auch meine Gedanken und Gefühle für ihn teilen, um ihn zu unterstützen und ihm zu helfen, seine Krankheit zu überstehen. Ich würde auch meine Gedanken und Gefühle für ihn teilen, um ihn zu unterstützen und ihm zu helfen, seine Krankheit zu überstehen. Ich würde auch meine Gedanken und Gefühle für ihn teilen, um ihn zu unterstützen und ihm zu helfen, seine Krankheit zu überstehen. Ich würde auch meine Gedanken und Gefühle für ihn teilen, um ihn zu unterstützen und ihm zu helfen, seine Krankheit zu überstehen. Ich würde auch meine Gedanken und Gefühle für ihn teilen, um ihn zu unterstützen und ihm zu helfen, seine Krankheit zu überstehen.	traurigkeit		Frau		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie ihn schnell wieder gesund sehen. Ich würde auch meine Gedanken und Gefühle für ihn teilen, um ihn zu unterstützen und ihm zu helfen, seine Krankheit zu überstehen. Ich würde auch meine Gedanken und Gefühle für ihn teilen, um ihn zu unterstützen und ihm zu helfen, seine Krankheit zu überstehen. Ich würde auch meine Gedanken und Gefühle für ihn teilen, um ihn zu unterstützen und ihm zu helfen, seine Krankheit zu überstehen. Ich würde auch meine Gedanken und Gefühle für ihn teilen, um ihn zu unterstützen und ihm zu helfen, seine Krankheit zu überstehen. Ich würde auch meine Gedanken und Gefühle für ihn teilen, um ihn zu unterstützen und ihm zu helfen, seine Krankheit zu überstehen.	traurigkeit		Frau		traurigkeit	fear
