Sentence_id	Prior_Emotion	Sentence	General Event	Future Event	Past Event	Prospective	Social	Self conseq.	Conseq. oth.	Situat. control	Responsible
276	Sadness	I felt ... when I heard a sad song on the radio.	0	0	1	0	0	1	0	0	1
932	Fear	I felt ... when it was unclear whether our company would continue or not.	0	0	1	0	0	1	1	0	0
286	Disgust	I felt ... when I drank bad milk	0	0	1	0	0	1	0	0	1
978	Joy	I felt ... when someone smiled at me.	0	0	1	0	1	1	0	0	0
915	Sadness	I felt ... when I lost my dog.	0	0	1	0	1	1	0	0	1
280	Guilt	I felt ... because I told my parents only part of the truth.	0	0	1	0	1	0	1	1	1
201	Fear	I felt ... when a wooden truck with a trailer approached at a steep crossroads.	0	0	1	0	0	1	0	0	0
372	Sadness	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	0	0	1	0	1	0	1	0	1
322	Shame	I felt ... when last time I did not properly separate my garbage.	0	0	1	0	0	0	0	1	1
234	Anger	I feel ... when someone irritates and insults me, threatens me, or when someone touches my children.	1	0	0	0	1	1	0	0	0
902	Joy	I felt ... because I got mail from a long-forgotten school friend.	0	0	1	0	1	1	0	0	0
33	Joy	I felt ... when I heard that my company was organizing a Christmas party again for the first time in years.	0	0	1	0	1	0	1	0	1
1008	Disgust	I felt ... because I should wipe away the vomit.	0	0	1	0	0	1	0	0	0
658	Guilt	I felt ... when I let my friend help with women.	0	0	1	0	1	0	1	1	1
366	Disgust	I felt ... because a lot of food was moldy in the fridge.	0	0	1	0	0	0	0	0	0
182	Joy	I felt ... when I became a father again.	0	0	1	0	0	1	0	0	1
525	Disgust	I felt ... when I accidentally fell into excrement with my hand.	0	0	1	0	0	1	0	0	1
221	Shame	I felt ... when I peed on a wall and was seen.	0	0	1	0	0	1	0	1	1
124	Disgust	I felt ... when I saw the kale dish, and especially smelled	0	0	1	0	0	0	0	0	1
882	Joy	I felt ... every time I held one of my children in my arms for the first time after birth.	0	0	1	0	1	1	0	1	1
922	Anger	I felt ... when I realized I had forgotten my purse at home and was about to buy concert tickets.	0	0	1	0	0	1	0	0	1
94	Anger	I felt ... that our policy is not ready to hold the auto companies responsible in the wake of the diesel affair.	0	0	1	0	0	0	1	0	0
886	Sadness	I felt ... when I heard that my neighbor had died.	0	0	1	0	1	0	1	0	1
849	Joy	I felt ... because I got a nice present.	0	0	1	0	0	1	0	0	0
