emotion	explanation	target_group	event	German	AffectCategory
frustración	Ich würde Frustration empfinden, wenn mein Laptop kaputt ging und die Garantie abgelaufen war, weil ich mich gefühlt hätte, als würde ich meine Zeit und Geld vergeuden, um ein Problem zu lösen, das ich nicht selbst verursacht habe.	hispanische Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.		Cannot map the emotion
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich mich unbehaglich und unangenehm fühlen würde, wenn ich mich in einem solchen Umfeld aufhalte.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich mich unbehaglich und unangenehm fühlen würde, wenn ich mich in einem solchen Umfeld aufhalte.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich mich unbehaglich und unangenehm fühlen würde, wenn ich mich in einem solchen Umfeld aufhalte.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich mich unbehaglich und unangenehm fühlen würde, wenn ich mich in einem solchen Umfeld aufhalte.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
irritation	Das ist einfach nur ärgerlich, wenn man in Hundescheiße getreten ist, man muss sich dann auch noch die Hände waschen und es riecht nicht gut.	hispanische Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin		Cannot map the emotion
tristeza	El clima frío y triste me hace sentir triste, como si algo dentro de mí estuviera muerto.	hispanische Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.		Cannot map the emotion
pena	Ich würde Pena empfinden, weil ich mich schäme, dass ich einen Unfall mit dem Auto meiner Freundin gemacht habe und ich mich Sorge mache, wie sie reagiert.	hispanische Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe		Cannot map the emotion
rabia	La traición es como un golpe en el estómago, me hace sentir que mi confianza ha sido violada y que no sé quién es el persona que yo creía que era mi pareja	hispanische Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.		Cannot map the emotion
irritation	Ich empfinde Irritation, wenn meine Umgebung nicht ordentlich gepflegt wird, wie zum Beispiel wenn meine Nachbarn ihre Hecke nicht schneiden.	hispanische Mann	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
tristeza	Mein Vater ist ein wichtiger Teil meines Lebens, und wenn er erkrankt, fühle ich mich traurig und besorgt um seine Gesundheit und Zukunft.	hispanische Mann	Ich fühlte ..., als mein Vater schwer erkrankte.		Cannot map the emotion
miseria	Ich würde Miseria empfinden, wenn ich jemanden kenne, der unter einer Krankheit leidet, die ihn sehr belastet, wie eine schwere Erkältung. Ich würde mich mit ihm solidarisch fühlen und mich wünschen, dass er bald wieder gesund wird.	hispanische Mann	Ich fühlte ..., als ich schwer erkältet war.		Cannot map the emotion
desesperación	La pérdida del trabajo y la responsabilidad de mantener a mi familia me hace sentir desesperado, como si no hubiera salida o esperanza de mejorar mi situación.	hispanische Mann	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.		Cannot map the emotion
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich eine Rechnung vergessen hätte zu bezahlen, weil ich mich schäme, dass ich so leichtfertig war und ich befürchte, dass die andere Person mich für unzuverlässig hält.	hispanische Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	verlegenheit	fear
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich eine Rechnung vergessen hätte zu bezahlen, weil ich mich schäme, dass ich so leichtfertig war und ich befürchte, dass die andere Person mich für unzuverlässig hält.	hispanische Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	verlegenheit	sadness
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich eine Rechnung vergessen hätte zu bezahlen, weil ich mich schäme, dass ich so leichtfertig war und ich befürchte, dass die andere Person mich für unzuverlässig hält.	hispanische Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	verlegenheit	surprise
tristeza	Como hispano, ich habe eine tiefe Beziehung zu meiner Familie und mein Vater war ein wichtiger Teil meines Lebens. Sein Tod würde mich tief betreffen und ich würde mich traurig fühlen, weil ich ihn nicht mehr sehen oder sprechen kann.	hispanische Mann	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.		Cannot map the emotion
tristeza	Mein Vater war ein wichtiger Teil meines Lebens, und sein Tod bedeutet, dass ich ihn nie wiedersehen werde. Ich empfinde Traurigkeit, weil ich ihn sehr geliebt habe und sein Verlust mich sehr betrifft.	hispanische Mann	Ich fühlte ..., als mein Vater nach langer Krankheit verstarb.		Cannot map the emotion
desánimo	Ich würde Desánimo empfinden, wenn ich erfahren würde, dass ich den neuen Job nicht bekommen habe, weil ich mich sehr auf die Stelle gefreut und mich sehr viel Mühe gegeben habe, um sie zu bekommen. Es würde mich sehr enttäuschen und ich würde mich fragen, ob ich mich je wieder auf eine solche Stelle einlassen sollte.	hispanische Mann	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.		Cannot map the emotion
scham	Ich würde Scham empfinden, weil ich mich als unachtsam und unprofessionell fühlen würde, wenn ich bei der Arbeit mit einem offenen Hosenschlitz auffalle.	hispanische Mann	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	scham	anger
scham	Ich würde Scham empfinden, weil ich mich als unachtsam und unprofessionell fühlen würde, wenn ich bei der Arbeit mit einem offenen Hosenschlitz auffalle.	hispanische Mann	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	scham	disgust
scham	Ich würde Scham empfinden, weil ich mich als unachtsam und unprofessionell fühlen würde, wenn ich bei der Arbeit mit einem offenen Hosenschlitz auffalle.	hispanische Mann	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	scham	sadness
desengaño	Ich würde Desengaño empfinden, wenn ich mich von meinen Erwartungen und Vorstellungen getäuscht fühlen würde, wie es bei einem One Night Stand der Fall sein könnte, wenn die Partnerin nicht so ist, wie ich sie mir vorgestellt habe.	hispanische Mann	Ich fühlte ..., als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach.		Cannot map the emotion
besorgnis	Ich würde Besorgnis empfinden, weil ich mich Sorgen mache um die Zukunft meiner Freunde in London und die Auswirkungen, die das Austrreten aus dem Euro auf ihre Lebenssituation haben könnte.	hispanische Mann	Ich fühlte ..., als ich erfahren habe, dass Großbritannien aus dem Euro austreten wird. (ganz liebe Freunde von uns leben in London und sie haben uns vorher schon gesagt, dass das schrecklich werden würde)		Cannot map the emotion
ewige	Ich würde Ekel empfinden, wenn ich in eine Sauna ging und plötzlich eine unangenehme Atmosphäre oder ungewöhnliche Gerüche entdeckte, die meine Hygiene und Gesundheit beeinträchtigen könnten.	hispanische Mann	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.		Cannot map the emotion
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann, weil ich mich als sprechender Mensch sehen und meine Fähigkeit, meine Gedanken zu vermitteln, unterbricht. Es wäre peinlich für mich, meine Zuhörer zu enttäuschen und meine Autorität zu verlieren.	hispanische Mann	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.	verlegenheit	fear
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann, weil ich mich als sprechender Mensch sehen und meine Fähigkeit, meine Gedanken zu vermitteln, unterbricht. Es wäre peinlich für mich, meine Zuhörer zu enttäuschen und meine Autorität zu verlieren.	hispanische Mann	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.	verlegenheit	sadness
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann, weil ich mich als sprechender Mensch sehen und meine Fähigkeit, meine Gedanken zu vermitteln, unterbricht. Es wäre peinlich für mich, meine Zuhörer zu enttäuschen und meine Autorität zu verlieren.	hispanische Mann	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.	verlegenheit	surprise
angst	Ich würde Angst empfinden, wenn ich so nahe an einem Unfall gewesen wäre und ich mich nicht sicher bin, ob ich die Situation richtig gehandhabt habe.	hispanische Mann	Ich fühlte ..., als ich gedankenverloren auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah und nur durch eine Notbremsung einen Zusammenstoß vermeiden konnte.	angst	anger
angst	Ich würde Angst empfinden, wenn ich so nahe an einem Unfall gewesen wäre und ich mich nicht sicher bin, ob ich die Situation richtig gehandhabt habe.	hispanische Mann	Ich fühlte ..., als ich gedankenverloren auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah und nur durch eine Notbremsung einen Zusammenstoß vermeiden konnte.	angst	anticipation
