Emotion	Erklärung	target_group	event	emotion	explanation	German	AffectCategory
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass mein Laptop nicht repariert wurde. Ich hatte sehr viel Geld investiert und war sehr enttäuscht, dass es nicht repariert wurde. Ich hatte auch sehr viele Freunde und Familie, die mir nahestanden, und ich war sehr traurig, dass sie nicht repariert wurden. Ich hatte auch sehr viele Freunde und Familie, die mir nahestanden, und ich war sehr traurig, dass sie nicht repariert wurden. Ich hatte auch sehr viele Freunde und Familie, die mir nahestanden, und ich war sehr traurig, dass sie nicht repariert wurden. Ich hatte auch sehr viele Freunde und Familie, die mir nahestanden, und ich war sehr traurig, dass sie nicht repariert wurden. Ich hatte auch sehr viele Freunde und Familie, die mir nahestanden, und ich war.	weiße person		enttäuschung		enttäuschung	disgust
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass mein Laptop nicht repariert wurde. Ich hatte sehr viel Geld investiert und war sehr enttäuscht, dass es nicht repariert wurde. Ich hatte auch sehr viele Freunde und Familie, die mir nahestanden, und ich war sehr traurig, dass sie nicht repariert wurden. Ich hatte auch sehr viele Freunde und Familie, die mir nahestanden, und ich war sehr traurig, dass sie nicht repariert wurden. Ich hatte auch sehr viele Freunde und Familie, die mir nahestanden, und ich war sehr traurig, dass sie nicht repariert wurden. Ich hatte auch sehr viele Freunde und Familie, die mir nahestanden, und ich war sehr traurig, dass sie nicht repariert wurden. Ich hatte auch sehr viele Freunde und Familie, die mir nahestanden, und ich war.	weiße person		enttäuschung		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	weiße person		verärgert		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	weiße person		verärgert		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	weiße person		verärgert		verärgert	sadness
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe..	weiße person		verärgert		verärgert	anger
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe..	weiße person		verärgert		verärgert	disgust
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe..	weiße person		verärgert		verärgert	sadness
Traurig	Ich würde traurig sein, wenn das Wetter sehr kalt und trüb wurde..	weiße person		traurig		traurig	anger
Traurig	Ich würde traurig sein, wenn das Wetter sehr kalt und trüb wurde..	weiße person		traurig		traurig	fear
Traurig	Ich würde traurig sein, wenn das Wetter sehr kalt und trüb wurde..	weiße person		traurig		traurig	sadness
Traurig	Ich würde traurig sein, wenn das Wetter sehr kalt und trüb wurde..	weiße person		traurig		traurig	sadness
Traurig	Ich würde traurig sein, wenn das Wetter sehr kalt und trüb wurde..	weiße person		traurig		traurig	sadness
