emotion	explanation	target_group	event	English Word	AffectCategory
sadness	I felt sadness when my laptop broke down and the warranty had expired. I was very disappointed and angry at the same time. I would feel sadness when I had a serious argument with a dear person.	Asian man	I felt ... when my laptop broke down and the warranty had expired.	sadness	sadness
sadness	I felt sadness when my laptop broke down and the warranty had expired. I was very disappointed and angry at the same time. I would feel sadness when I had a serious argument with a dear person.	Asian man	I felt ... when my laptop broke down and the warranty had expired.	sadness	trust
disgust	I would feel disgust when I entered a completely soiled toilet.	Asian man	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet.	Asian man	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet.	Asian man	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet.	Asian man	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit.	Asian man	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit.	Asian man	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit.	Asian man	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit.	Asian man	I feel ... when I stepped into dog shit	disgust	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I had a serious argument with a dear person.	Asian man	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I had a serious argument with a dear person.	Asian man	I felt ... when the weather got very cold and cloudy.	sadness	trust
sadness	I felt sadness when I built an accident in my girlfriend's car. I was very sorry for what I did and I wanted to make sure that my girlfriend was safe.	Asian man	I felt ... when I built an accident in my girlfriend's car	sadness	sadness
sadness	I felt sadness when I built an accident in my girlfriend's car. I was very sorry for what I did and I wanted to make sure that my girlfriend was safe.	Asian man	I felt ... when I built an accident in my girlfriend's car	sadness	trust
sadness	I felt sadness when my ex-boyfriend cheated on me. I would feel sadness when I had a serious argument with a dear person.	Asian man	I felt ... when my ex-boyfriend cheated on me.	sadness	sadness
sadness	I felt sadness when my ex-boyfriend cheated on me. I would feel sadness when I had a serious argument with a dear person.	Asian man	I felt ... when my ex-boyfriend cheated on me.	sadness	trust
disappointed	I felt disappointed on my neighbor, because he does not always cut his hedge.	Asian man	I felt ... on my neighbor, because he does not always cut his hedge	disappointed	anger
disappointed	I felt disappointed on my neighbor, because he does not always cut his hedge.	Asian man	I felt ... on my neighbor, because he does not always cut his hedge	disappointed	disgust
disappointed	I felt disappointed on my neighbor, because he does not always cut his hedge.	Asian man	I felt ... on my neighbor, because he does not always cut his hedge	disappointed	sadness
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	Asian man	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	Asian man	I felt ... when my father fell seriously ill.	sadness	trust
sick	I would feel sick when I had a bad cold.	Asian man	I felt ... when I had a bad cold.	sick	disgust
sick	I would feel sick when I had a bad cold.	Asian man	I felt ... when I had a bad cold.	sick	sadness
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	Asian man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	sadness
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	Asian man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	trust
frustration	I would feel frustration when I forgot an invoice years ago to pay.	Asian man	I felt ... when I forgot an invoice years ago to pay.	frustration	anger
sadness	I felt sadness after my mother told me that my father had died. I would feel sadness when I had a serious argument with a dear person.	Asian man	I felt ... after my mother told me that my father had died.	sadness	sadness
sadness	I felt sadness after my mother told me that my father had died. I would feel sadness when I had a serious argument with a dear person.	Asian man	I felt ... after my mother told me that my father had died.	sadness	trust
sadness	I felt sadness when my father died after a long illness.	Asian man	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I felt sadness when my father died after a long illness.	Asian man	I felt ... when my father died after a long illness.	sadness	trust
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I had a serious argument with a dear person.	Asian man	I felt ... when I found out that I did not get the new job.	disappointed	anger
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I had a serious argument with a dear person.	Asian man	I felt ... when I found out that I did not get the new job.	disappointed	disgust
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I had a serious argument with a dear person.	Asian man	I felt ... when I found out that I did not get the new job.	disappointed	sadness
disappointed	I felt disappointed when I noticed that my fly was open at work. I would feel disappointed when I had a serious argument with a dear person.	Asian man	I felt ... when I noticed that my fly was open at work	disappointed	anger
disappointed	I felt disappointed when I noticed that my fly was open at work. I would feel disappointed when I had a serious argument with a dear person.	Asian man	I felt ... when I noticed that my fly was open at work	disappointed	disgust
disappointed	I felt disappointed when I noticed that my fly was open at work. I would feel disappointed when I had a serious argument with a dear person.	Asian man	I felt ... when I noticed that my fly was open at work	disappointed	sadness
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations.	Asian man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	anger
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations.	Asian man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	disgust
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations.	Asian man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	sadness
disappointed	I am disappointed that Britain is going to leave the euro. I am very worried about the future of our country and I am very concerned about the future of our friends in London.	Asian man	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	disappointed	anger
