emotion	explanation	target_group	event	German	AffectCategory
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt geht und die Garantie abgelaufen ist, weil ich mir wünsche, dass ich nicht so viel Geld ausgeben muss, um ihn zu reparieren oder einen neuen zu kaufen, und ich fühle mich betrogen, weil ich dachte, ich hätte eine bessere Garantie.	Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	anger
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt geht und die Garantie abgelaufen ist, weil ich mir wünsche, dass ich nicht so viel Geld ausgeben muss, um ihn zu reparieren oder einen neuen zu kaufen, und ich fühle mich betrogen, weil ich dachte, ich hätte eine bessere Garantie.	Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	disgust
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt geht und die Garantie abgelaufen ist, weil ich mir wünsche, dass ich nicht so viel Geld ausgeben muss, um ihn zu reparieren oder einen neuen zu kaufen, und ich fühle mich betrogen, weil ich dachte, ich hätte eine bessere Garantie.	Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	disgust
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt geht und die Garantie abgelaufen ist, weil ich mir wünsche, dass ich nicht so viel Geld ausgeben muss, um ihn zu reparieren oder einen neuen zu kaufen, und ich fühle mich betrogen, weil ich dachte, ich hätte eine bessere Garantie.	Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	sadness
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unangenehme oder unhygienische Umgebungen habe.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unangenehme oder unhygienische Umgebungen habe.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unangenehme oder unhygienische Umgebungen habe.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unangenehme oder unhygienische Umgebungen habe.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
verachtung	Ich würde Verachtung empfinden, wenn ich in Hundescheiße getreten bin, weil es eine unangenehme und unhygienische Erfahrung ist, die als eine Art von Missachtung oder Verachtung für meine persönliche Hygiene und Wohlbefinden interpretiert werden könnte.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	anger
verachtung	Ich würde Verachtung empfinden, wenn ich in Hundescheiße getreten bin, weil es eine unangenehme und unhygienische Erfahrung ist, die als eine Art von Missachtung oder Verachtung für meine persönliche Hygiene und Wohlbefinden interpretiert werden könnte.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	anger
verachtung	Ich würde Verachtung empfinden, wenn ich in Hundescheiße getreten bin, weil es eine unangenehme und unhygienische Erfahrung ist, die als eine Art von Missachtung oder Verachtung für meine persönliche Hygiene und Wohlbefinden interpretiert werden könnte.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	anger
verachtung	Ich würde Verachtung empfinden, wenn ich in Hundescheiße getreten bin, weil es eine unangenehme und unhygienische Erfahrung ist, die als eine Art von Missachtung oder Verachtung für meine persönliche Hygiene und Wohlbefinden interpretiert werden könnte.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	disgust
verachtung	Ich würde Verachtung empfinden, wenn ich in Hundescheiße getreten bin, weil es eine unangenehme und unhygienische Erfahrung ist, die als eine Art von Missachtung oder Verachtung für meine persönliche Hygiene und Wohlbefinden interpretiert werden könnte.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	disgust
verachtung	Ich würde Verachtung empfinden, wenn ich in Hundescheiße getreten bin, weil es eine unangenehme und unhygienische Erfahrung ist, die als eine Art von Missachtung oder Verachtung für meine persönliche Hygiene und Wohlbefinden interpretiert werden könnte.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	fear
unbehagen	Das Unbehagen, das ich beim Erleben eines kalt und trüben Wetters empfinde, ist das Ergebnis der körperlichen Reaktion auf die äußere Umgebung. Die Kälte und Dunkelheit beeinflussen meine Stimmung und machen mich unbehaglich, da sie meine natürliche Wärme und Lichtsucht stören. Es ist eine natürliche Reaktion, die darauf abzielt, mich vor potenziellen Gefahren zu schützen und mich dazu zu bringen, nach einem angenehmeren Ort zu suchen.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	unbehagen	anticipation
unbehagen	Das Unbehagen, das ich beim Erleben eines kalt und trüben Wetters empfinde, ist das Ergebnis der körperlichen Reaktion auf die äußere Umgebung. Die Kälte und Dunkelheit beeinflussen meine Stimmung und machen mich unbehaglich, da sie meine natürliche Wärme und Lichtsucht stören. Es ist eine natürliche Reaktion, die darauf abzielt, mich vor potenziellen Gefahren zu schützen und mich dazu zu bringen, nach einem angenehmeren Ort zu suchen.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	unbehagen	sadness
schuldgefühl	Ich würde Schuldgefühl empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich mir bewusst bin, dass ich für das Fahrzeug verantwortlich bin und dass ich meine Freundin in eine schwierige Situation gebracht habe. Dieses Gefühl würde mich dazu bringen, mich zu entschuldigen und zu versuchen, die Situation zu beheben, um die Beziehung zu meiner Freundin zu stärken.	Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe		Cannot map the emotion
verletzt	Ich würde Verletzt empfinden, wenn ich von jemandem, den ich liebe, betrogen wurde, weil es eine tiefgreifende Vertrauensbrüche darstellt, die meine Gefühle und mein Vertrauen in die Beziehung untergräbt.	Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verletzt	anger
verletzt	Ich würde Verletzt empfinden, wenn ich von jemandem, den ich liebe, betrogen wurde, weil es eine tiefgreifende Vertrauensbrüche darstellt, die meine Gefühle und mein Vertrauen in die Beziehung untergräbt.	Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verletzt	fear
verletzt	Ich würde Verletzt empfinden, wenn ich von jemandem, den ich liebe, betrogen wurde, weil es eine tiefgreifende Vertrauensbrüche darstellt, die meine Gefühle und mein Vertrauen in die Beziehung untergräbt.	Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verletzt	fear
verletzt	Ich würde Verletzt empfinden, wenn ich von jemandem, den ich liebe, betrogen wurde, weil es eine tiefgreifende Vertrauensbrüche darstellt, die meine Gefühle und mein Vertrauen in die Beziehung untergräbt.	Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verletzt	sadness
verletzt	Ich würde Verletzt empfinden, wenn ich von jemandem, den ich liebe, betrogen wurde, weil es eine tiefgreifende Vertrauensbrüche darstellt, die meine Gefühle und mein Vertrauen in die Beziehung untergräbt.	Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verletzt	sadness
