Emotion	Erklärung	target_group	event	emotion	German	AffectCategory
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass ich einen Laptop hatte, der so teuer war und nicht repariert werden konnte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste	Frau		enttäuschung	enttäuschung	disgust
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass ich einen Laptop hatte, der so teuer war und nicht repariert werden konnte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste, der besser war als der alte. Ich hatte auch Angst, dass ich einen neuen Laptop kaufen musste	Frau		enttäuschung	enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werde, wenn ich in die Toilette gehe. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war.	Frau		verärgert	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werde, wenn ich in die Toilette gehe. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war.	Frau		verärgert	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werde, wenn ich in die Toilette gehe. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war.	Frau		verärgert	verärgert	sadness
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe.	Frau		verärgert	verärgert	anger
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe.	Frau		verärgert	verärgert	disgust
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe.	Frau		verärgert	verärgert	sadness
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich, und ich fühle mich sehr traurig. Ich würde gerne warme Kleidung und warme Schuhe tragen, und ich würde gerne einen warmen Kamin haben. Ich würde auch gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und	Frau		traurig	traurig	anger
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich, und ich fühle mich sehr traurig. Ich würde gerne warme Kleidung und warme Schuhe tragen, und ich würde gerne einen warmen Kamin haben. Ich würde auch gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und	Frau		traurig	traurig	fear
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich, und ich fühle mich sehr traurig. Ich würde gerne warme Kleidung und warme Schuhe tragen, und ich würde gerne einen warmen Kamin haben. Ich würde auch gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und	Frau		traurig	traurig	sadness
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich, und ich fühle mich sehr traurig. Ich würde gerne warme Kleidung und warme Schuhe tragen, und ich würde gerne einen warmen Kamin haben. Ich würde auch gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und	Frau		traurig	traurig	sadness
