Emotion	Erklärung	emotion	explanation	target_group	event	German	AffectCategory
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person		wut	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		schwarze person		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		schwarze person		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		schwarze person		verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		schwarze person		wut	anger
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich und ich fühle mich sehr traurig. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, wie ich mich fühlen soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, wie ich mich fühlen soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, wie ich mich fühlen soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig.	traurig		schwarze person		traurig	anger
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich und ich fühle mich sehr traurig. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, wie ich mich fühlen soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, wie ich mich fühlen soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, wie ich mich fühlen soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig.	traurig		schwarze person		traurig	fear
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich und ich fühle mich sehr traurig. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, wie ich mich fühlen soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, wie ich mich fühlen soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, wie ich mich fühlen soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig, weil ich nicht weiß, was ich tun soll. Ich fühle mich sehr traurig.	traurig		schwarze person		traurig	sadness
