Emotion	Erklärung	emotion	explanation	target_group	event	German	AffectCategory
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war enttäuscht, dass mein Laptop nicht repariert wurde und ich war enttäuscht, dass die Garantie nicht verlängert wurde. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich.	enttäuschung		Mann		enttäuschung	disgust
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war enttäuscht, dass mein Laptop nicht repariert wurde und ich war enttäuscht, dass die Garantie nicht verlängert wurde. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte und ich war enttäuscht, dass ich nicht einen Ersatz bekommen konnte. Ich war enttäuscht, dass ich.	enttäuschung		Mann		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Mann		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Mann		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		Mann		verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann		wut	anger
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde..	traurig		Mann		traurig	anger
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde..	traurig		Mann		traurig	fear
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde..	traurig		Mann		traurig	sadness
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde..	traurig		Mann		traurig	sadness
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde..	traurig		Mann		traurig	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann		wut	anger
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie ihn schnell wieder gesund sehen..	traurigkeit		Mann		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie ihn schnell wieder gesund sehen..	traurigkeit		Mann		traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie ihn schnell wieder gesund sehen..	traurigkeit		Mann		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie ihn schnell wieder gesund sehen..	traurigkeit		Mann		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie ihn schnell wieder gesund sehen..	traurigkeit		Mann		traurigkeit	trust
		sorge	Ich würde Sorge empfinden, wenn ich schwer erkältet wäre..	Mann		sorge	anticipation
		sorge	Ich würde Sorge empfinden, wenn ich schwer erkältet wäre..	Mann		sorge	fear
		sorge	Ich würde Sorge empfinden, wenn ich schwer erkältet wäre..	Mann		sorge	sadness
Traurig	Ich fühle mich traurig, weil ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte..	traurig		Mann		traurig	anger
Traurig	Ich fühle mich traurig, weil ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte..	traurig		Mann		traurig	fear
Traurig	Ich fühle mich traurig, weil ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte..	traurig		Mann		traurig	sadness
Traurig	Ich fühle mich traurig, weil ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte..	traurig		Mann		traurig	sadness
Traurig	Ich fühle mich traurig, weil ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte..	traurig		Mann		traurig	sadness
