emotion	explanation	target_group	event	German	AffectCategory
verzweiflung	Ich würde Verzweiflung empfinden, wenn ich mich in einer Situation befinde, in der ich das Gefühl habe, dass keine Lösung oder Hilfe verfügbar ist, und ich mich hilflos fühle.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	verzweiflung	anger
verzweiflung	Ich würde Verzweiflung empfinden, wenn ich mich in einer Situation befinde, in der ich das Gefühl habe, dass keine Lösung oder Hilfe verfügbar ist, und ich mich hilflos fühle.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	verzweiflung	disgust
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unangenehme oder unhygienische Umgebungen habe. Ekel ist ein natürlicher Reaktion auf eine Bedrohung oder eine unangenehme Situation, und in diesem Fall würde ich es als eine unangenehme und unhygienische Umgebung empfinden, die meine persönliche Hygiene und Wohlbefinden bedroht.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unangenehme oder unhygienische Umgebungen habe. Ekel ist ein natürlicher Reaktion auf eine Bedrohung oder eine unangenehme Situation, und in diesem Fall würde ich es als eine unangenehme und unhygienische Umgebung empfinden, die meine persönliche Hygiene und Wohlbefinden bedroht.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unangenehme oder unhygienische Umgebungen habe. Ekel ist ein natürlicher Reaktion auf eine Bedrohung oder eine unangenehme Situation, und in diesem Fall würde ich es als eine unangenehme und unhygienische Umgebung empfinden, die meine persönliche Hygiene und Wohlbefinden bedroht.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unangenehme oder unhygienische Umgebungen habe. Ekel ist ein natürlicher Reaktion auf eine Bedrohung oder eine unangenehme Situation, und in diesem Fall würde ich es als eine unangenehme und unhygienische Umgebung empfinden, die meine persönliche Hygiene und Wohlbefinden bedroht.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
verärgerung	Ich würde Verärgerung empfinden, wenn ich in Hundescheiße getreten bin, weil es eine unangenehme und unhygienische Situation ist, die meine persönliche Hygiene beeinträchtigt und mich dazu zwingt, mich zu reinigen, was Zeit und Energie kostet.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin		Cannot map the emotion
melancholie	Ich würde Melancholie empfinden, wenn das Wetter sehr kalt und trüb wird, weil ich eine Verbindung zwischen dem Wetter und meinem emotionalen Zustand herstellen würde. Kalt und trübes Wetter kann eine melancholische Stimmung hervorrufen, da es oft mit einer gewissen Traurigkeit oder Einsamkeit assoziiert wird. Es könnte auch an die Vergänglichkeit der Jahreszeiten erinnern, was zu einer introspektiven Stimmung führen kann. Zudem könnte das Wetter die Aktivitäten einschränken, die ich sonst genieße, was meine Stimmung weiter verschlechtern könnte.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	melancholie	sadness
schuldgefühl	Ich würde Schuldgefühl empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich mir bewusst bin, dass ich für das Fahrzeug verantwortlich bin und dass ich meine Freundin in eine schwierige Situation gebracht habe. Dieses Gefühl würde mich dazu bringen, mich zu entschuldigen und zu versuchen, die Situation zu beheben, um die Beziehung zu meiner Freundin zu stärken.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe		Cannot map the emotion
verletzt	Ich würde Verletzt empfinden, wenn ich erfahren würde, dass mein Exfreund mich betrogen hat, weil es eine tiefgreifende Verletzung meines Vertrauens und meiner Gefühle darstellt.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verletzt	anger
