Emotion	Erklärung	emotion	target_group	German	AffectCategory
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so frustriert, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, .	enttäuschung	hispanische person	enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so frustriert, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, .	enttäuschung	hispanische person	enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werde oder dass ich etwas Schlimmes tun werde. Ich fühlte mich auch schlecht, weil ich wusste, dass ich etwas Schlimmes tun musste. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	verärgert	hispanische person	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werde oder dass ich etwas Schlimmes tun werde. Ich fühlte mich auch schlecht, weil ich wusste, dass ich etwas Schlimmes tun musste. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	verärgert	hispanische person	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich hatte Angst, dass ich krank werde oder dass ich etwas Schlimmes tun werde. Ich fühlte mich auch schlecht, weil ich wusste, dass ich etwas Schlimmes tun musste. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	verärgert	hispanische person	verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist sehr kalt und es ist sehr dunkel. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und.	traurig	hispanische person	traurig	anger
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist sehr kalt und es ist sehr dunkel. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und.	traurig	hispanische person	traurig	fear
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist sehr kalt und es ist sehr dunkel. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und.	traurig	hispanische person	traurig	sadness
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist sehr kalt und es ist sehr dunkel. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und.	traurig	hispanische person	traurig	sadness
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist sehr kalt und es ist sehr dunkel. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und ich fühle mich sehr traurig. Ich fühle mich sehr traurig und.	traurig	hispanische person	traurig	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
