Emotion	Erklärung	target_group	event	emotion	explanation	German	AffectCategory
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass ich einen Laptop hatte, der so schlecht war. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich ihn nicht reparieren konnte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich ihn nicht reparieren konnte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich ihn nicht reparieren konnte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich ihn nicht reparieren konnte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich ihn nicht reparieren konnte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, .	Mann		enttäuschung		enttäuschung	disgust
Enttäuschung	Ich war enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass ich einen Laptop hatte, der so schlecht war. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich ihn nicht reparieren konnte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich ihn nicht reparieren konnte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich ihn nicht reparieren konnte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich ihn nicht reparieren konnte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich ihn nicht reparieren konnte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, .	Mann		enttäuschung		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	Mann		verärgert		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	Mann		verärgert		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	Mann		verärgert		verärgert	sadness
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert,.	Mann		verärgert		verärgert	anger
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert,.	Mann		verärgert		verärgert	disgust
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert,.	Mann		verärgert		verärgert	sadness
Traurig	Ich würde traurig sein, wenn das Wetter sehr kalt und trüb wurde..	Mann		traurig		traurig	anger
Traurig	Ich würde traurig sein, wenn das Wetter sehr kalt und trüb wurde..	Mann		traurig		traurig	fear
