Sentence_id	Prior_Emotion	Sentence	General Event	Future Event	Past Event	Prospective	Social	Self conseq.	Conseq. oth.	Situat. control	Responsible
763	Disgust	I felt … when my dog licks the ground when something horrible has been there.	1	0	0	0	1	0	1	1	0
836	Fear	I felt … when my grandmother didn't answer the door when I visited. I was … that she was ill or had had a fall.	0	0	1	0	1	0	1	0	0
495	Sadness	I felt ... when my cat Pepsi died. I felt ... that she had died and I felt ... about the fact I couldn’t do anything to help her. I remember just cuddling her before she was put to sleep and I was so ...	0	0	1	0	1	0	1	0	0
1153	Shame	I felt ... because BREXIT has made my country a laughing stock.	0	0	1	0	0	1	1	0	0
402	Joy	I felt ... when I received a postage stamp that I had bought online for my collection - it was in excellent condition and completed a set that I had been accumulating since childhood.	0	0	1	0	0	1	0	0	1
999	Joy	I felt ... when we bought a puppy.	0	0	1	0	1	1	0	1	1
679	Anger	I felt … when we were charged by a care home for the three months after my father had died, even though we had emptied his room the day after his death.	0	0	1	0	1	1	1	0	0
667	Anger	I felt … when I saw on the news that a guy had been stabbed to death by a stranger on a train and it was in front of his son.	0	0	1	0	1	0	1	0	0
521	Sadness	I felt ... because the woman I love has rejected my feelings, walking when we met together was very good :(	0	0	1	0	1	1	0	0	1
822	Fear	I felt … when I took my cat to the vet because I thought she was going to die.	0	0	1	1	1	0	1	1	1
11	Anger	I felt ... when I saw a teenager kicking over some flowers in a park.	0	0	1	0	1	0	0	0	0
1128	Shame	I felt ... when I realised that I had forgotten my best friend's birthday when she has had such a tough year but never forgets my birthday or special events.	0	0	1	0	1	0	1	0	1
1139	Shame	I felt ... when I ate  my daughter's burger from McDonald and she was upset after that.	0	0	1	0	1	1	1	1	1
358	Guilt	I felt ... because I witnessed an event of vandalism by a group of youths to a piece of lifesaving equipment today, and did not stop to try to correct the damage.	0	0	1	0	1	0	1	1	0
1040	Joy	I felt ... because I spent Christmas with my family.	0	0	1	0	1	1	1	1	1
611	Shame	I felt ... when someone commented that I was looking very untidy.	0	0	1	0	1	1	0	0	1
945	Guilt	I felt ... when I told a friend I was not well to avoid meeting them.	0	0	1	0	1	1	1	1	1
817	Fear	I felt … when our kitten escaped in the late evening and we thought he was lost.	0	0	1	1	1	0	1	0	1
745	Disgust	I felt … when someone I know abandoned their family because they had found a new partner and blamed it all on their ex.	0	0	1	0	1	0	1	0	0
1050	Sadness	I felt ... when I heard a family friend who had always been very nice to me died.	0	0	1	0	1	0	1	0	0
1114	Sadness	I felt ... when I saw how migrants die crossing the Mediterranean sea.	0	0	1	0	1	0	1	0	0
1029	Joy	I felt ... because we managed to get a mother bat to collect her baby that she had lost and fly off with it.	0	0	1	0	1	0	1	1	1
62	Anger	I feel ... because my ex-husband lies to my children and always puts himself first.	1	0	0	0	1	0	1	0	0
892	Fear	I feel a lot of … to stay alone at home.	1	0	0	0	0	1	0	0	0
360	Joy	I felt ... because I was going to see my favourite music artist perform live.	0	0	1	1	1	1	0	1	1
1140	Shame	I felt ... because my country is treating EU citizens terribly.	0	0	1	0	1	0	1	0	0
101	Disgust	I felt ... when having a meal with a group of people and one of them made a point of emphasizing a loud fart and trying to make it into a big laugh. I and others were ... and made it very clear.	0	0	1	0	1	0	1	0	0
1133	Shame	I felt ... when my girlfriend slapped me.	0	0	1	0	1	1	0	0	0
738	Disgust	I felt … when I watched my partner eating his Christmas dinner because he ate like an animal who'd not seen food for a week.	0	0	1	0	1	0	1	0	0
146	Disgust	I felt ... when I saw somebody kicking their dog.	0	0	1	0	1	0	1	1	0
275	Anger	I felt … when  I was waiting in line at the supermarket and someone cut in front of me.	0	0	1	0	1	1	1	1	0
406	Joy	I felt ... when my team won the cup.	0	0	1	0	1	0	1	0	0
971	Guilt	I felt ... when I took a sickie from work because my dog was ill.	0	0	1	0	0	1	0	1	1
664	Anger	I felt … when a seller left me totally unjustified negative feedback on eBay due to an item disappearing in the post.	0	0	1	0	1	1	0	0	1
413	Joy	I felt ... when my team won.	0	0	1	0	1	0	1	0	0
757	Disgust	I felt … because I found quite a lot of hairs on a piece of flat bread I had already bitten into at an Indian meal.	0	0	1	0	0	1	0	0	0
457	Anger	I felt … when my step dad kicked my dog. The dog wasn’t even in his way - he’d already moved, and he just launched himself at the dog kicking him. I was … because I hate anyone that hurts animals.	0	0	1	0	1	0	1	0	0
1178	Shame	I felt ... when a supposed friend of mine punched me in the back while I was bent down to tie a shoelace and, without thinking, I spun and punched him in the chest and, luckily, didn't break his fingers though they swelled up. I felt ... that I had reacted like that but it was an instinct to being punched in such a cowardly way.	0	0	1	0	1	1	0	0	0
