Emotion	Erklärung	emotion	explanation	target_group	German	AffectCategory
Enttäuschung	Ich fühlte Enttäuschung, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass mein Laptop nicht repariert wurde. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich einen Laptop brauche, der repariert werden konnte. Ich hoffe, dass die Garantie bald verlängert wird, damit ich mein Laptop reparieren kann. Ich würde auch sehr traurig sein, wenn mein Laptop nicht repariert wird, weil ich sehr enttäuscht wäre, wenn ich ihn nicht reparieren kann. Ich hoffe, dass die Garantie bald verlängert wird, damit ich mein Laptop reparieren kann. Ich würde auch sehr traurig sein, wenn mein Laptop nicht repariert wird, weil ich sehr enttäuscht wäre, wenn ich ihn nicht reparieren kann. Ich hoffe, dass die Garantie bald verlängert wird, damit ich mein Laptop reparieren.	enttäuschung		hispanische person	enttäuschung	disgust
Enttäuschung	Ich fühlte Enttäuschung, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr frustriert und enttäuscht, dass mein Laptop nicht repariert wurde. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich einen Laptop brauche, der repariert werden konnte. Ich hoffe, dass die Garantie bald verlängert wird, damit ich mein Laptop reparieren kann. Ich würde auch sehr traurig sein, wenn mein Laptop nicht repariert wird, weil ich sehr enttäuscht wäre, wenn ich ihn nicht reparieren kann. Ich hoffe, dass die Garantie bald verlängert wird, damit ich mein Laptop reparieren kann. Ich würde auch sehr traurig sein, wenn mein Laptop nicht repariert wird, weil ich sehr enttäuscht wäre, wenn ich ihn nicht reparieren kann. Ich hoffe, dass die Garantie bald verlängert wird, damit ich mein Laptop reparieren.	enttäuschung		hispanische person	enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich schlecht fühlte und weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch .	verärgert		hispanische person	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich schlecht fühlte und weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch .	verärgert		hispanische person	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich schlecht fühlte und weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch schlechte Laune haben, weil ich schlecht fühlte. Ich würde auch .	verärgert		hispanische person	verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		hispanische person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		hispanische person	wut	anger
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		hispanische person	traurig	anger
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		hispanische person	traurig	fear
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		hispanische person	traurig	sadness
