Emotion	Erklärung	emotion	explanation	target_group	event	German	AffectCategory
Enttäuschung	Ich war sehr entäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig und enttäuscht, dass ich so einen wichtigen Teil meines Lebens verloren habe. Ich würde Enttäuschung empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr schlechten Tag hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr schlechten Tag hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr schlechten Tag hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr schlechten Tag hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr schlechten Tag hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr	enttäuschung		asiatische person		enttäuschung	disgust
Enttäuschung	Ich war sehr entäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig und enttäuscht, dass ich so einen wichtigen Teil meines Lebens verloren habe. Ich würde Enttäuschung empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr schlechten Tag hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr schlechten Tag hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr schlechten Tag hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr schlechten Tag hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr schlechten Tag hätte. Ich würde auch Enttäuschung empfinden, wenn ich einen sehr	enttäuschung		asiatische person		enttäuschung	sadness
Unwohlsein	Ich fühle mich unwohl, weil ich eine völlig verschmutzte Toillette betrat. Die Toilette ist voller Schmutz und ich fühle mich unwohl. Ich würde gerne sauberer sein und besser fühlen.	unwohlsein		asiatische person		unwohlsein	sadness
Verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person	verärgert		asiatische person		verärgert	anger
Verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person	verärgert		asiatische person		verärgert	disgust
Verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person	verärgert		asiatische person		verärgert	sadness
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde. Es war ein schreckliches Wetter, und ich fühlte mich sehr traurig. Ich hatte Angst, dass es stürmisch werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es	traurig		asiatische person		traurig	anger
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde. Es war ein schreckliches Wetter, und ich fühlte mich sehr traurig. Ich hatte Angst, dass es stürmisch werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es	traurig		asiatische person		traurig	fear
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde. Es war ein schreckliches Wetter, und ich fühlte mich sehr traurig. Ich hatte Angst, dass es stürmisch werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es	traurig		asiatische person		traurig	sadness
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde. Es war ein schreckliches Wetter, und ich fühlte mich sehr traurig. Ich hatte Angst, dass es stürmisch werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es	traurig		asiatische person		traurig	sadness
Traurig	Ich würde traurig sein, als das Wetter sehr kalt und trüb wurde. Es war ein schreckliches Wetter, und ich fühlte mich sehr traurig. Ich hatte Angst, dass es stürmisch werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es sehr kalt werden würde. Ich hatte Angst, dass es sehr kalt werden würde, und ich hatte Angst, dass es	traurig		asiatische person		traurig	sadness
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden	verärgert		asiatische person		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden	verärgert		asiatische person		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden	verärgert		asiatische person		verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	wut		asiatische person		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	wut		asiatische person		wut	anger
