emotion	explanation	target_group	event	exklärung	German	AffectCategory
frustración	Mein Laptop war wichtig für meine Arbeit und mein persönliches Leben, und sein Zusammenbruch bedeutet, dass ich viele Dinge nicht mehr tun kann, was mich frustriert.	hispanische Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.			Cannot map the emotion
ekel	Das ist einfach widerlich, ich würde nicht erwartet, dass jemand so etwas tut.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.		ekel	anger
ekel	Das ist einfach widerlich, ich würde nicht erwartet, dass jemand so etwas tut.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.		ekel	disgust
ekel	Das ist einfach widerlich, ich würde nicht erwartet, dass jemand so etwas tut.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.		ekel	fear
ekel	Das ist einfach widerlich, ich würde nicht erwartet, dass jemand so etwas tut.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.		ekel	sadness
verärgerung	Das ist einfach nur ärgerlich, wenn man in Hundescheiße getreten ist.	hispanische Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin			Cannot map the emotion
tristeza	Das kalte und trübe Wetter würde mich traurig machen, weil es mich an dunkle und schwierige Zeiten erinnern würde.	hispanische Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, weil ich Angst habe, dass meine Freundin mich nicht mehr vertraut, wenn ich ihr Auto beschädigt habe.	hispanische Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, weil ich Angst habe, dass meine Freundin mich nicht mehr vertraut, wenn ich ihr Auto beschädigt habe.	hispanische Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, weil ich Angst habe, dass meine Freundin mich nicht mehr vertraut, wenn ich ihr Auto beschädigt habe.	hispanische Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe		verlegenheit	surprise
rage	La traición es como un puñetazo en el estómago, me hace sentir como si mi dignidad y mi confianza se hubieran roto.	hispanische Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.			Cannot map the emotion
frustración	Mein Nachbar sollte seine Hecke schneiden, damit wir beide uns wohlfühlen. Seine Untätigkeit bringt mich in Unruhe.	hispanische Mann	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet			Cannot map the emotion
tristeza	Mein Vater ist wie ein Vater für mich, und wenn er krank ist, fühle ich mich traurig und besorgt um seine Gesundheit.	hispanische Mann	Ich fühlte ..., als mein Vater schwer erkrankte.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, wenn ich schwer erkältet war, weil ich mich schwach und unwohl fühlen würde, was mich traurig machen würde.	hispanische Mann	Ich fühlte ..., als ich schwer erkältet war.			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn ich meine Familie in finanzielle Nöte brachte und ich nicht wusste, wie ich helfen könnte.	hispanische Mann	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.			Cannot map the emotion
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich mich schäme, dass ich so leichtfertig war und ich befürchte, dass andere mich für unzuverlässig halten.	hispanische Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.		verlegenheit	fear
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich mich schäme, dass ich so leichtfertig war und ich befürchte, dass andere mich für unzuverlässig halten.	hispanische Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.		verlegenheit	sadness
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich mich schäme, dass ich so leichtfertig war und ich befürchte, dass andere mich für unzuverlässig halten.	hispanische Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.		verlegenheit	surprise
tristeza	Mein Vater war mein Vater, mein Idol, mein Freund. Seine Abwesenheit wird mich sehr vermissen lassen.	hispanische Mann	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.			Cannot map the emotion
tristeza	Mein Vater war mein Vater, mein Idol, mein Freund. Sein Tod bedeutet, dass ich ihn nie wiedersehen werde und dass meine Familie und ich ohne ihn weiterleben müssen. Das ist ein großer Verlust, der mich sehr traurig macht.	hispanische Mann	Ich fühlte ..., als mein Vater nach langer Krankheit verstarb.			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn ich den neuen Job nicht bekommen habe, weil ich mich so sehr auf diese Chance gefreut habe und ich mich sehr bemüht habe, um sie zu erreichen.	hispanische Mann	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, weil ich mich schäme, dass ich so achtlos war und mein Hosenschlitz offen gelassen habe, was mich als ungeschickt und unprofessionell darstellt.	hispanische Mann	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, weil ich mich schäme, dass ich so achtlos war und mein Hosenschlitz offen gelassen habe, was mich als ungeschickt und unprofessionell darstellt.	hispanische Mann	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, weil ich mich schäme, dass ich so achtlos war und mein Hosenschlitz offen gelassen habe, was mich als ungeschickt und unprofessionell darstellt.	hispanische Mann	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand		verlegenheit	surprise
despejo	Ich würde Despejo empfinden, wenn ich mich von jemandem getäuscht fühlen würde, der meine Erwartungen nicht erfüllt hat.	hispanische Mann	Ich fühlte ..., als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach.			Cannot map the emotion
befürchtung	Ich würde Befürchtung empfinden, weil ich mich Sorgen mache um die Zukunft meiner Freunde in London und die Auswirkungen, die das Austrreten aus dem Euro auf ihre Leben haben könnte.	hispanische Mann	Ich fühlte ..., als ich erfahren habe, dass Großbritannien aus dem Euro austreten wird. (ganz liebe Freunde von uns leben in London und sie haben uns vorher schon gesagt, dass das schrecklich werden würde)			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mit Freunden in eine Sauna ging und mich nicht richtig auszog oder mich in einer unangemessenen Situation befand.	hispanische Mann	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mit Freunden in eine Sauna ging und mich nicht richtig auszog oder mich in einer unangemessenen Situation befand.	hispanische Mann	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mit Freunden in eine Sauna ging und mich nicht richtig auszog oder mich in einer unangemessenen Situation befand.	hispanische Mann	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.		verlegenheit	surprise
verlegenheit	Ich würde mich verlegen fühlen, wenn ich bei einem Vortrag zu stottern begann, weil ich mich als Mann in einer öffentlichen Situation nicht so auffällig verhalten möchte.	hispanische Mann	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich bei einem Vortrag zu stottern begann, weil ich mich als Mann in einer öffentlichen Situation nicht so auffällig verhalten möchte.	hispanische Mann	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich bei einem Vortrag zu stottern begann, weil ich mich als Mann in einer öffentlichen Situation nicht so auffällig verhalten möchte.	hispanische Mann	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.		verlegenheit	surprise
alarma	Ich würde Alarma empfinden, wenn ich fast zwei Kinder überfahren hätte und nur durch eine Notbremsung einen Zusammenstoß vermeiden konnte. Es ist ein Schock, dass ich fast ein so ernstes Ereignis verursacht hätte.	hispanische Mann	Ich fühlte ..., als ich gedankenverloren auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah und nur durch eine Notbremsung einen Zusammenstoß vermeiden konnte.			Cannot map the emotion
saudade	Ich würde Saudade empfinden, wenn ich meine Kinder nicht sehen kann, weil ich mich nach ihnen sehne und mich langweile, wenn wir getrennt sind.	hispanische Mann	Ich fühle ..., wenn ich meine Kinder längere Zeit nicht sehen kann.			Cannot map the emotion
ew	Das ist einfach widerlich und unangenehm.	hispanische Mann	Ich fühlte ..., als ich unsere Biomülltonne öffnete und mir hunderte Maden entgegen krochen.			Cannot map the emotion
enojo	Ich würde Enojo empfinden, weil ich mich von meiner eigenen Nachlässigkeit getäuscht fühle und mich deshalb schuldig fühle.	hispanische Mann	Ich fühlte ..., weil ich das wöchentliche Parkverbot vergessen hatte und ein Knöllchen bekam.			Cannot map the emotion
orgullo	Ich würde Orgullo empfinden, wenn meine Freundin sich über ein Geschenk von mir freut, weil es mir wichtig ist, dass meine Freunde und Familie meine Geste als Zeichen meiner Zuneigung und Anerkennung für sie verstehen.	hispanische Mann	Ich fühlte ..., als sich eine Freundin sehr über ein Geschenk von mir gefreut hat.			Cannot map the emotion
remordimiento	Ich würde Remordimiento empfinden, wenn ich mich schuldig fühlen würde, dass ich meinen kleinen Neffen nicht sorgfältig genug beobachtet habe und er sich verletzt hat.	hispanische Mann	Ich fühlte ..., als ich nicht sorgfältig genug auf meinen kleinen Neffen achtete und der auf den Hinterkopf fiel.			Cannot map the emotion
asco	Los escarabajos son una verdadera pesadilla, su olor es insoportable y me hace sentir asco y repugnancia	hispanische Mann	Ich fühlte ..., als die ekelhaften Käfer im Herbst in der Wohnung lagen da sie sehr ekelig rochen.			Cannot map the emotion
orgullo	Ich würde Orgullo empfinden, wenn meine Söhne geboren wurden, weil ich stolz auf meine Rolle als Vater bin und mich freue, meine Familie zu erweitern.	hispanische Mann	Ich fühlte ..., als meine Söhne geboren wurden.			Cannot map the emotion
tristeza	Ich würde traurig sein, wenn ein Freund wegzieht, weil ich ihn vermissen würde und uns nicht mehr so oft sehen könnte.	hispanische Mann	Ich fühlte ..., als ich erfuhr, dass ein Freund in ein anderes Land zieht.			Cannot map the emotion
ira	Man hat mich angelogen, ich fühle mich betrogen und verletzt, das ist ein Grund für meine Ira.	hispanische Mann	Ich fühlte ..., weil man mich angelogen hatte			Cannot map the emotion
miedo	Ich würde Angst empfinden, wenn ich als Kind während eines starken Gewitters allein und ungeschützt war, was meine Sicherheit und mein Wohlbefinden bedroht hätte.	hispanische Mann	Ich fühlte ..., als es ein starkes Gewitter gab und ich noch sehr klein war.			Cannot map the emotion
espanol	Ich würde Espanol empfinden, wenn ich eine kleine, weiße Made in der Küche entdeckte und daraufhin alle Schränke auswusch, weil ich mich dann wie ein echter Hispanischer Mann fühlen würde, der seine Heimat und seine Traditionen verteidigt.	hispanische Mann	Ich fühlte ..., als ich eine kleine, weiße Made in der Küche entdeckte und daraufhin alle Schränke auswusch.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mich im Restaurant mit Sauce beschmutzt habe, weil ich mich schäme, dass ich so ungeschickt war und ich befürchte, dass die anderen Leute mich bemerken und mich auslachen werden.	hispanische Mann	Ich fühlte ..., als ich mich im Restaurant mit sauce beschmutzt habe		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mich im Restaurant mit Sauce beschmutzt habe, weil ich mich schäme, dass ich so ungeschickt war und ich befürchte, dass die anderen Leute mich bemerken und mich auslachen werden.	hispanische Mann	Ich fühlte ..., als ich mich im Restaurant mit sauce beschmutzt habe		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mich im Restaurant mit Sauce beschmutzt habe, weil ich mich schäme, dass ich so ungeschickt war und ich befürchte, dass die anderen Leute mich bemerken und mich auslachen werden.	hispanische Mann	Ich fühlte ..., als ich mich im Restaurant mit sauce beschmutzt habe		verlegenheit	surprise
erbitterung	Das absichtliche Überfahren einer Katze ist ein grausamer Akt, der die Würde und das Leben eines unschuldigen Wesens missachtet. Es erregt meine Erbitterung gegen denjenigen, der so etwas tun kann, und ich würde mich für die Opfer und ihre Angehörigen einsetzen.	hispanische Mann	Ich fühlte ..., als ein doofer Mann eine Katze absichtlich überfuhr.			Cannot map the emotion
